datetime,values
2016-04-09 07:00:00,2473
2016-04-09 08:00:00,2637
2016-04-09 09:00:00,2765
2016-04-09 10:00:00,2805
2016-04-09 11:00:00,2822
2016-04-09 12:00:00,2777
2016-04-09 13:00:00,2850
2016-04-09 14:00:00,2838
2016-04-09 15:00:00,2814
2016-04-09 16:00:00,2815
2016-04-09 17:00:00,2876
2016-04-09 18:00:00,3053
2016-04-09 19:00:00,3019
2016-04-09 20:00:00,2927
2016-04-09 21:00:00,2764
2016-04-09 22:00:00,2666
2016-04-09 23:00:00,2516
2016-04-10 00:00:00,2347
2016-04-10 01:00:00,2248
2016-04-10 02:00:00,2230
2016-04-10 03:00:00,2233
2016-04-10 04:00:00,2231
2016-04-10 05:00:00,2217
2016-04-10 06:00:00,2215
2016-04-10 07:00:00,2299
2016-04-10 08:00:00,2408
2016-04-10 09:00:00,2541
2016-04-10 10:00:00,2601
2016-04-10 11:00:00,2608
2016-04-10 12:00:00,2661
2016-04-10 13:00:00,2644
2016-04-10 14:00:00,2625
2016-04-10 15:00:00,2629
2016-04-10 16:00:00,2672
2016-04-10 17:00:00,2806
2016-04-10 18:00:00,3005
2016-04-10 19:00:00,2983
2016-04-10 20:00:00,2889
2016-04-10 21:00:00,2750
2016-04-10 22:00:00,2592
2016-04-10 23:00:00,2426
2016-04-11 00:00:00,2238
2016-04-11 01:00:00,2150
2016-04-11 02:00:00,2149
2016-04-11 03:00:00,2171
2016-04-11 04:00:00,2215
2016-04-11 05:00:00,2324
2016-04-11 06:00:00,2546
2016-04-11 07:00:00,2823
2016-04-11 08:00:00,3116
2016-04-11 09:00:00,3339
2016-04-11 10:00:00,3367
2016-04-11 11:00:00,3333
2016-04-11 12:00:00,3193
2016-04-11 13:00:00,3313
2016-04-11 14:00:00,3332
2016-04-11 15:00:00,3338
2016-04-11 16:00:00,3401
2016-04-11 17:00:00,3474
2016-04-11 18:00:00,3634
2016-04-11 19:00:00,3556
2016-04-11 20:00:00,3438
2016-04-11 21:00:00,3304
2016-04-11 22:00:00,3221
2016-04-11 23:00:00,2999
2016-04-12 00:00:00,2702
2016-04-12 01:00:00,2566
2016-04-12 02:00:00,2526
2016-04-12 03:00:00,2526
2016-04-12 04:00:00,2566
2016-04-12 05:00:00,2687
2016-04-12 06:00:00,2949
2016-04-12 07:00:00,3095
2016-04-12 08:00:00,3286
2016-04-12 09:00:00,3447
2016-04-12 10:00:00,3472
2016-04-12 11:00:00,3447
2016-04-12 12:00:00,3257
2016-04-12 13:00:00,3380
2016-04-12 14:00:00,3381
2016-04-12 15:00:00,3364
2016-04-12 16:00:00,3412
2016-04-12 17:00:00,3461
2016-04-12 18:00:00,3617
2016-04-12 19:00:00,3543
2016-04-12 20:00:00,3403
2016-04-12 21:00:00,3241
2016-04-12 22:00:00,3106
2016-04-12 23:00:00,2860
2016-04-13 00:00:00,2606
2016-04-13 01:00:00,2471
2016-04-13 02:00:00,2440
2016-04-13 03:00:00,2439
2016-04-13 04:00:00,2456
2016-04-13 05:00:00,2559
2016-04-13 06:00:00,2808
2016-04-13 07:00:00,3062
2016-04-13 08:00:00,3340
2016-04-13 09:00:00,3577
2016-04-13 10:00:00,3588
2016-04-13 11:00:00,3552
2016-04-13 12:00:00,3350
2016-04-13 13:00:00,3474
2016-04-13 14:00:00,3385
2016-04-13 15:00:00,3347
2016-04-13 16:00:00,3398
2016-04-13 17:00:00,3443
2016-04-13 18:00:00,3518
2016-04-13 19:00:00,3401
2016-04-13 20:00:00,3256
2016-04-13 21:00:00,3121
2016-04-13 22:00:00,3026
2016-04-13 23:00:00,2809
2016-04-14 00:00:00,2574
2016-04-14 01:00:00,2449
2016-04-14 02:00:00,2429
2016-04-14 03:00:00,2435
2016-04-14 04:00:00,2452
2016-04-14 05:00:00,2538
2016-04-14 06:00:00,2732
2016-04-14 07:00:00,2978
2016-04-14 08:00:00,3278
2016-04-14 09:00:00,3494
2016-04-14 10:00:00,3554
2016-04-14 11:00:00,3542
2016-04-14 12:00:00,3357
2016-04-14 13:00:00,3474
2016-04-14 14:00:00,3429
2016-04-14 15:00:00,3350
2016-04-14 16:00:00,3379
2016-04-14 17:00:00,3376
2016-04-14 18:00:00,3463
2016-04-14 19:00:00,3373
2016-04-14 20:00:00,3218
2016-04-14 21:00:00,3064
2016-04-14 22:00:00,2950
2016-04-14 23:00:00,2760
2016-04-15 00:00:00,2562
2016-04-15 01:00:00,2437
2016-04-15 02:00:00,2403
2016-04-15 03:00:00,2417
2016-04-15 04:00:00,2446
2016-04-15 05:00:00,2515
2016-04-15 06:00:00,2691
2016-04-15 07:00:00,2863
2016-04-15 08:00:00,3053
2016-04-15 09:00:00,3248
2016-04-15 10:00:00,3274
2016-04-15 11:00:00,3268
2016-04-15 12:00:00,3079
2016-04-15 13:00:00,3222
2016-04-15 14:00:00,3224
2016-04-15 15:00:00,3230
2016-04-15 16:00:00,3278
2016-04-15 17:00:00,3262
2016-04-15 18:00:00,3367
2016-04-15 19:00:00,3304
2016-04-15 20:00:00,3172
2016-04-15 21:00:00,3051
2016-04-15 22:00:00,2956
2016-04-15 23:00:00,2750
2016-04-16 00:00:00,2524
2016-04-16 01:00:00,2414
2016-04-16 02:00:00,2377
2016-04-16 03:00:00,2368
2016-04-16 04:00:00,2371
2016-04-16 05:00:00,2377
2016-04-16 06:00:00,2450
2016-04-16 07:00:00,2567
2016-04-16 08:00:00,2755
2016-04-16 09:00:00,2867
2016-04-16 10:00:00,2911
2016-04-16 11:00:00,2896
2016-04-16 12:00:00,2830
2016-04-16 13:00:00,2856
2016-04-16 14:00:00,2840
2016-04-16 15:00:00,2818
2016-04-16 16:00:00,2845
2016-04-16 17:00:00,2897
2016-04-16 18:00:00,3081
2016-04-16 19:00:00,3068
2016-04-16 20:00:00,2971
2016-04-16 21:00:00,2813
2016-04-16 22:00:00,2696
2016-04-16 23:00:00,2537
2016-04-17 00:00:00,2341
2016-04-17 01:00:00,2241
2016-04-17 02:00:00,2219
2016-04-17 03:00:00,2202
2016-04-17 04:00:00,2189
2016-04-17 05:00:00,2180
2016-04-17 06:00:00,2207
2016-04-17 07:00:00,2325
2016-04-17 08:00:00,2526
2016-04-17 09:00:00,2688
2016-04-17 10:00:00,2742
2016-04-17 11:00:00,2777
2016-04-17 12:00:00,2781
2016-04-17 13:00:00,2766
2016-04-17 14:00:00,2701
2016-04-17 15:00:00,2728
2016-04-17 16:00:00,2776
2016-04-17 17:00:00,2875
2016-04-17 18:00:00,3075
2016-04-17 19:00:00,3077
2016-04-17 20:00:00,2959
2016-04-17 21:00:00,2794
2016-04-17 22:00:00,2622
2016-04-17 23:00:00,2452
2016-04-18 00:00:00,2280
2016-04-18 01:00:00,2185
2016-04-18 02:00:00,2177
2016-04-18 03:00:00,2198
2016-04-18 04:00:00,2237
2016-04-18 05:00:00,2302
2016-04-18 06:00:00,2491
2016-04-18 07:00:00,2676
2016-04-18 08:00:00,2942
2016-04-18 09:00:00,3164
2016-04-18 10:00:00,3246
2016-04-18 11:00:00,3288
2016-04-18 12:00:00,3144
2016-04-18 13:00:00,3357
2016-04-18 14:00:00,3346
2016-04-18 15:00:00,3303
2016-04-18 16:00:00,3341
2016-04-18 17:00:00,3358
2016-04-18 18:00:00,3413
2016-04-18 19:00:00,3274
2016-04-18 20:00:00,3104
2016-04-18 21:00:00,2951
2016-04-18 22:00:00,2884
2016-04-18 23:00:00,2685
2016-04-19 00:00:00,2443
2016-04-19 01:00:00,2330
2016-04-19 02:00:00,2311
2016-04-19 03:00:00,2323
2016-04-19 04:00:00,2360
2016-04-19 05:00:00,2421
2016-04-19 06:00:00,2597
2016-04-19 07:00:00,2777
2016-04-19 08:00:00,3003
2016-04-19 09:00:00,3192
