athlete,HH,MM,SS,acolor
Paul,0,26,27,ffffff
田実,0,28,00,ffffff
古畑,0,33,00,ffffff
五十嵐,0,36,10,ffffff
湯山,0,38,50,ffffff
鳥野見,0,41,00,ffffff
新井,0,45,00,ffffff
大曽根,1,01,30,ffffff
石井,1,10,00,ffffff
宮原,1,20,00,ffffff
綿貫,1,30,00,ffffff
