Pref,NonRep,OverMin,Rent,HomeOwn,CompPol,NumClime,NumLarc,TrafAcci,Fire,DspRubb,Sidewalk,MedFacil,OverOrd,Sunshine,NumMat,AreaResi,Transpt,AreaPark,Sewarage,Recycle,AmtRubb,AvgMin,Pavement
"香川県",4.92,95.3,1786,70.5,36.1,7.8,186,669.6,81.2,73.83,11.1,51.1,50.82,67.69,11.9,290,75,8.4,34,8.7,1036.2,25,24.6
"愛媛県",6.04,95.1,1639,66.7,55.9,10.3,223,707.4,73.5,79.26,8.2,53.1,45.62,67.39,11.2,237,77.6,9,36.8,7.6,1073.1,21,18.8
"高知県",6.58,91.9,1684,67.3,50.5,8,173,676,76.4,77.46,9.1,47.5,39.98,68.24,10.7,192,85.1,13.1,24.7,7.9,991.8,24,19.7
"福岡県",4.77,91.3,1908,53.4,37.3,10,322,918.9,74.1,84.66,13.3,61.8,39.2,59.98,10.1,288,83.5,7.9,67.09,8.5,1135.3,31,15
"佐賀県",5.25,95.2,1544,72.4,50.6,8.2,148,599,97.1,80.82,11.9,45.9,43.73,74.51,10.5,326,74.4,7.4,29.6,11.7,947,23,25
"長崎県",5.04,91.8,1684,64.9,28.4,7.9,109,472.5,79,75.6,8.7,58,37.99,64.72,9.9,246,84.4,12.1,45.6,7.1,1168.5,28,34.3
"熊本県",6.23,92.6,1754,66.4,23,7.6,152,612,80.1,82.49,8.4,44.1,39.73,70.04,10.2,335,80.2,6.8,44.5,8.9,927.4,23,23.1
"大分県",4.77,95,1599,64.5,57.9,6.8,128,551.9,72.3,69.59,10.1,46.5,47.11,70.88,11.1,293,82.9,7.8,38.8,7.9,1262.5,25,31.8
"宮崎県",2.64,93.9,1587,68.9,50.6,8.3,209,360.2,82.3,66.98,9.7,45.1,38.52,78.52,10,323,76.8,14.1,38.5,11.8,1151.2,21,19.6
"鹿児島県",4.17,94.1,1673,69.3,30.1,7.8,145,641.7,75.1,63.87,10,46.4,39.88,69.89,10.1,295,83.2,9.3,39,3.1,1178.6,21,16.1
"沖縄県",8.23,86.3,1889,55.9,24.4,10.6,380,241.5,58.4,68.99,24.1,51.5,30.35,58.37,8.4,282,78.5,7.1,52,5,1040.6,24,40.7
