city,人口
岡山市,709584
倉敷市,475513
津山市,106788
玉野市,64588
笠岡市,54225
井原市,43927
総社市,66201
高梁市,34963
新見市,33870
備前市,37839
瀬戸内市,37852
赤磐市,43458
真庭市,48964
美作市,30498
浅口市,36114
和気町,15362
早島町,12214
里庄町,10916
矢掛町,15092
新庄村,957
鏡野町,13580
勝央町,11195
奈義町,6085
西粟倉村,1520
久米南町,5296
美咲町,15642
吉備中央町,13033
