time,latitude,longitude,depth,mag
2016-04-19T13:07:30.080Z,"0.2507","-80.3441",10,"4.4"
2016-04-19T13:03:48.010Z,"-53.0693","139.8484","14.85","4.5"
2016-04-19T12:35:37.190Z,"-14.2437","166.1072",10,"4.9"
2016-04-19T11:47:04.730Z,"32.5998","130.5416",10,"4.8"
2016-04-19T10:40:49.180Z,"-14.2419","166.1737",10,"4.9"
2016-04-19T10:05:34.390Z,"35.6603","140.8382","20.4","4.5"
2016-04-19T09:56:18.000Z,"54.7707","-160.6906","9.9","3.2"
2016-04-19T08:52:14.340Z,"32.5123","130.5669","3.19","5.1"
2016-04-19T08:19:43.910Z,"40.3558","19.3573",10,"3.4"
2016-04-19T07:23:14.960Z,"30.835","138.6212",375,"4.5"
2016-04-19T07:21:07.000Z,"52.4875","-173.9213","145.9","3.2"
2016-04-19T05:25:39.600Z,"-55.6255","-27.2317","10.62","5.9"
2016-04-19T04:25:35.940Z,"35.7288333","-121.346","8.03","3.07"
2016-04-19T04:18:23.370Z,"-55.6988","-27.2574","40.87","5.1"
2016-04-19T03:47:49.800Z,"18.697","-66.4475",14,"2.8"
2016-04-19T02:47:01.890Z,"26.5311","130.2525","36.77","5.1"
2016-04-19T02:03:15.430Z,"-0.3374","-80.7592",10,"4.9"
2016-04-19T00:31:24.000Z,"36.4437","-98.7822","7.28","2.7"
2016-04-18T23:46:52.800Z,"19.0702","-64.5915",28,"2.9"
2016-04-18T23:16:46.200Z,"-2.0306","129.2121","43.06","4.1"
2016-04-18T23:01:59.800Z,"18.6952","-66.9599",90,"2.7"
2016-04-18T21:56:47.110Z,"-33.5057","77.6764",10,"4.8"
2016-04-18T21:48:42.000Z,"60.6354","-148.6466","16.7","3.2"
2016-04-18T21:20:02.630Z,"33.014","131.0027",10,"4.3"
2016-04-18T21:15:52.810Z,"-0.0855","-80.8126",10,"4.9"
2016-04-18T20:32:45.950Z,"42.1617","142.8898","59.13","4.4"
2016-04-18T20:25:55.920Z,"37.0793333","-117.8941667","-0.27","3.03"
