年月	平均気温(℃)	降水量の合計(mm)	平均湿度(％)	日照時間(時間)	日最高気温の平均(℃)	日最低気温の平均(℃)
1886-10-01	16.6	190.7	82		21	13
1886-11-01	10.2	192.1	79		15.6	6
1886-12-01	4.7	25.3	67		11	-0.7
1887-01-01	2.7	111.9	71		6.2	-0.9
1887-02-01	4.3	1.5	62		9.8	-0.1
1887-03-01	6.9	140.5	63		12.8	1.4
1887-04-01	12.2	79.8	75		17.3	7.6
1887-05-01	15.2	147.4	82		19.2	11.2
1887-06-01	20.3	216.2	84		24.1	17.1
1887-07-01	23.6	91.2	86		27.4	20.6
1887-08-01	25.3	91.6	85		29.3	22.2
1887-09-01	21	100.4	81		25.4	17.7
1887-10-01	16.6	223.5	84		21.4	12.6
1887-11-01	11.6	31.2	74		17.5	7
1887-12-01	5.7	14.8	62		12.7	0
1888-01-01	3.3	2.5	59		9.8	-2.2
1888-02-01	2.2	31.3	63		7.3	-2.1
1888-03-01	7.2	69.1	65		13.1	1.5
1888-04-01	12.4	104.2	77		17.5	8.1
1888-05-01	16	144.4	77		20.4	11.7
1888-06-01	18.6	174	80		22.8	14.6
1888-07-01	24.5	135.9	85		28.3	21.7
1888-08-01	25.6	81	83		29.7	22.2
1888-09-01	20.9	184.5	84		25.1	17.5
1888-10-01	15	211.7	81		20	10.9
1888-11-01	11.4	188	78		16.4	7.5
1888-12-01	5.2	51.9	66		11	0.5
1889-01-01	2.1	22.4	64		7.5	-2.1
1889-02-01	3.1	45.9	60		8.4	-1.6
1889-03-01	6.9	63.4	69		12.2	2.1
1889-04-01	12	156	73		16.3	8.2
1889-05-01	15.7	195.3	74		20.3	11.3
1889-06-01	20.9	68.5	82		25	17.3
1889-07-01	23.4	259.9	87		26.9	20.6
1889-08-01	25.8	96.2	83		30	22.3
1889-09-01	20.3	187.3	84		24.1	17.3
1889-10-01	14.6	109.7	77		19.6	10.8
1889-11-01	9.7	47.5	71		14.8	5.4
1889-12-01	4.9	67.2	67		10.6	0.5
1890-01-01	3.4	61.7	65		8.6	-1.1
1890-02-01	6.1	87.6	69		11.1	1.4
1890-03-01	9.2	206.9	74	126.9	13.2	5.2
1890-04-01	14.2	129.6	75	131.4	18.7	9.7
1890-05-01	16.1	288.3	80	109.9	19.9	12.1
1890-06-01	22	116.6	81	176.2	26	18.4
1890-07-01	23.5	105.3	85	172.7	27.3	20
1890-08-01	25.4	336	86	155.7	29	22.8
1890-09-01	24.2	101.9	82	191.5	28.3	20.8
1890-10-01	16	303.2	80	137.2	20.3	12.3
1890-11-01	10.8	173.3	74	179.1	16.2	6.2
1890-12-01	9.3	47.8	73	158.3	14.7	4.6
1891-01-01	2.4	30.5	56	233.9	8.8	-2.6
1891-02-01	3.8	66.9	60	173.6	8.6	-0.4
1891-03-01	8.9	179.9	72	154.4	13.7	4.2
1891-04-01	12	106.4	73	157.5	16.6	7.5
1891-05-01	18.2	52	74	270.2	23.4	12.8
1891-06-01	20.3	193.9	80	138.8	24.2	16.7
1891-07-01	24.9	81.7	83	135.7	28.7	21.7
1891-08-01	25.5	45.5	80	217.7	29.6	22
1891-09-01	24.3	247.7	82	165.2	28.4	20.9
1891-10-01	16.5	20	71	192.1	21.8	11.7
1891-11-01	10.4	138.8	71	179.3	16	5.5
1891-12-01	5.6	57.5	66	179.6	11.9	0.3
1892-01-01	3.7	13.6	62	170.6	9	-0.6
1892-02-01	4.1	127	62	177.6	9	-0.4
1892-03-01	5.1	141.7	61	167.7	9.9	0.8
1892-04-01	13.1	112.5	73	183.1	17.9	8.1
1892-05-01	16.6	347.5	78	174.7	21.1	12.1
1892-06-01	21.1	285.9	85	83.9	24.1	18.4
1892-07-01	25.7	109.1	82	197.2	29.7	22.4
1892-08-01	26.4	20.9	79	231.9	31.1	22.5
1892-09-01	23	288.9	84	157.9	26.8	19.8
1892-10-01	16.5	136.6	81	93.6	20.3	13.2
1892-11-01	9.9	126.2	71	165.7	15	5.5
1892-12-01	3.3	5.2	58	178.2	9.3	-1.8
1893-01-01	2.6	50.9	62	171.4	8.5	-2.5
1893-02-01	2.2	49.8	55	159	6.9	-1.7
1893-03-01	6.2	26	59	206.3	11.8	0.9
1893-04-01	13.3	204.1	72	206.1	18.2	8.5
1893-05-01	15.8	267.9	76	180	20.1	11.3
1893-06-01	20.5	95.5	78	179.1	24.6	16.8
1893-07-01	25.3	54.9	77	267	30.2	21.1
1893-08-01	26.2	95.3	80	213.2	30.6	22.7
1893-09-01	22.5	90.8	81	151.9	26.9	18.7
1893-10-01	15.9	147.8	83	133	20.3	12.1
1893-11-01	10.1	76.6	71	195	15.8	5
1893-12-01	4.7	1.7	60	234.1	11.1	-0.5
1894-01-01	3	42.5	60	167.7	8.2	-1.3
1894-02-01	3.7	31.1	54	212.1	9.3	-1.3
1894-03-01	8.4	112.4	71	152.2	13	4
1894-04-01	13.8	178.3	75	159.4	18.6	9.5
1894-05-01	16.3	84.3	74	214.1	20.9	11.3
1894-06-01	23.6	57.5	78	256.1	28.1	19.7
1894-07-01	26.8	61.6	78	270.4	31.6	23
1894-08-01	27	199.5	81	243.4	31.5	23.4
1894-09-01	21.9	144.9	84	125.7	25.5	19.1
1894-10-01	15.4	192.7	82	131.4	19.5	12.2
1894-11-01	11.6	98.4	77	184.8	17.2	7
1894-12-01	5.8	117.6	62	218.5	11.7	0.7
1895-01-01	2.1	43.5	63	205.5	7.7	-2.5
1895-02-01	4	88.1	58	235	9.4	-1.1
1895-03-01	6.9	69.1	75	163.8	11.8	2.4
1895-04-01	12.9	92.4	71	232.1	18.2	7.6
1895-05-01	17.5	58.8	76	222.9	22.2	12.7
1895-06-01	20.4	177.6	79	203.8	24.5	16.6
1895-07-01	22.1	299.8	75	122.3	25.7	19.4
1895-08-01	25.5	129.3	86	193.8	29.7	22.8
1895-09-01	22.9	83.6	82	169.2	27.1	19.7
1895-10-01	16.5	157.6	79	147.4	20.9	13.2
1895-11-01	9.9	123.9	73	166.5	15.2	5.5
1895-12-01	5.4	74.1	65	206.7	11.4	0.9
1896-01-01	3.3	35.9	58	232	9.3	-1.7
1896-02-01	3.5	105.5	65	177.8	8.5	-0.4
1896-03-01	6	64.6	66	181.3	10.9	1.5
1896-04-01	13.7	127.3	78	184.2	18.2	9.4
1896-05-01	16.6	130.5	79	171.7	20.8	12.6
1896-06-01	21.6	74.4	82	167.2	25.7	18.1
1896-07-01	24.1	67.1	83	175.8	28.1	21
1896-08-01	25.9	152.7	81	222.5	30.4	22.5
1896-09-01	22.3	208.4	83	167	26.2	19.2
1896-10-01	15.8	171.7	79	137.7	20	12.5
1896-11-01	10.7	195.8	72	199	16.1	6.1
1896-12-01	4.8	40	66	197.6	10.2	0.3
1897-01-01	3.7	88.1	67	162.6	8.1	-0.3
1897-02-01	3.5	47	60	166.1	8.4	-1
1897-03-01	5.7	81.3	65	153.8	10.1	1.7
1897-04-01	11.3	160.9	73	174.7	15.7	6.8
1897-05-01	17.3	120.4	76	224.9	21.9	12.8
1897-06-01	18.8	145.4	81	157.7	22.9	15.4
1897-07-01	22.9	141.7	87	156.7	26.5	19.9
1897-08-01	25	75.6	85	165.8	29.2	21.7
1897-09-01	20.9	398.5	86	122.6	24.7	17.6
1897-10-01	15.2	131.7	76	183.1	20.2	11.2
1897-11-01	10.1	106.4	77	165.7	15.1	5.8
1897-12-01	3.7	0.2	63	212.7	10	-1.5
1898-01-01	3.6	126.9	68	141.7	7.9	0
1898-02-01	4.4	97.1	64	194.6	9.3	0.1
1898-03-01	5.5	47.1	67	117.6	10.1	1.8
1898-04-01	11.2	191.5	75	175.3	16	6.8
1898-05-01	16.7	115.2	75	209.3	21.3	12
1898-06-01	19.2	254.8	83	144.1	23.2	15.8
1898-07-01	25.9	44	78	304.5	30.3	21.8
1898-08-01	26.1	219.8	84	211.9	30.6	22.7
1898-09-01	21.6	249.1	84	157.7	25.6	18.4
1898-10-01	16	79.5	82	154.3	20.6	12.2
1898-11-01	10.9	158.4	81	143.4	15.7	7.1
1898-12-01	6.4	128.5	71	186.3	11.3	2.6
1899-01-01	3.2	30.1	62	224.1	8.9	-1.3
1899-02-01	4.2	87.9	65	176	9.2	0.2
1899-03-01	8.5	182.6	69	217.4	13.6	3.8
1899-04-01	12.8	105.5	75	189.7	17.8	8.4
1899-05-01	17.9	124.4	77	220.7	22.7	13.4
1899-06-01	21.5	124.5	83	162.6	25.8	18
1899-07-01	23.2	274.7	87	131.9	26.9	20.2
1899-08-01	26.1	60.8	81	235.4	30.2	22.8
1899-09-01	19.8	196.2	86	106.5	23.5	16.9
1899-10-01	14.3	354.5	77	184.3	19.7	10.4
1899-11-01	8.9	16.3	69	201.8	14.6	4
1899-12-01	5.5	91.6	71	173.3	10.3	1.1
1900-01-01	1.6	69.2	66	160.1	6	-2.1
1900-02-01	3.1	31.3	62	174.9	8.2	-1
1900-03-01	5.7	69.3	70	171.5	10.8	1.1
1900-04-01	11.4	168.6	80	135.3	15.7	7.5
1900-05-01	17.3	127.3	77	219	22.3	12.7
1900-06-01	19.3	89.4	78	223.6	24	15.2
1900-07-01	22.8	122.1	85	137.5	26.5	19.7
1900-08-01	26.1	66.3	81	272	30.5	22.6
1900-09-01	22.6	173.9	83	165.7	26.9	19.3
1900-10-01	16.5	113.6	79	165.2	21.6	12.6
1900-11-01	11	131.9	79	148.4	16.3	6.7
1900-12-01	5.5	25.1	66	209.2	11.5	0.9
1901-01-01	4.1	74.4	70	163.4	9	0.2
