年月	平均気温(℃)	降水量の合計(mm)	平均湿度(％)	日照時間(時間)	日最高気温の平均(℃)	日最低気温の平均(℃)
1918-06-01	20.1	148.8	84	119.3	23.7	17.1
1918-07-01	26	82.2	82	270	30.2	22.5
1918-08-01	26.1	78.1	80	243.4	30.6	22.5
1918-09-01	22.6	202.5	81	185.3	27.2	18.8
1918-10-01	16	134.8	83	105.4	20.1	12.7
1918-11-01	10.4	141.6	75	159.2	15.1	6.5
1918-12-01	3.9	79.6	71	158.2	8.7	0.1
1919-01-01	2.8	85.1	64	147.5	7.3	-1.2
1919-02-01	3.7	142.4	69	159.5	7.9	-0.1
1919-03-01	8.3	93	65	190.3	13.7	3.5
1919-04-01	13.4	53.5	68	214.2	18.6	8.2
1919-05-01	16.2	90.8	74	224.4	21	11.4
1919-06-01	19.8	118.6	80	151.4	24.2	16
1919-07-01	23.6	177.5	82	189.2	27.5	20.2
1919-08-01	25	95.5	80	214	29.3	21.5
1919-09-01	22.7	248.4	81	165.7	26.8	19.3
1919-10-01	16.4	162.8	82	140.6	20.9	13
1919-11-01	11.4	178.4	81	101.6	15.2	7.9
1919-12-01	5.3	88.2	65	194.6	10.5	1.2
1920-01-01	4.1	62.6	63	223.5	10.1	-1
1920-02-01	2.6	111.4	65	148.7	6.6	-0.6
1920-03-01	6.6	128.3	71	157.1	11	2.5
1920-04-01	12.6	194.5	73	191.2	17.4	8.2
1920-05-01	16.8	259.6	80	162.4	21.3	13.2
1920-06-01	20.3	218.9	82	134.6	24.1	17
1920-07-01	26.1	117.9	79	269.1	30.6	22.5
1920-08-01	25.7	325.1	84	207.3	29.3	23
1920-09-01	21.4	369.8	81	153.8	25.5	18.2
1920-10-01	16.4	240.9	78	168.7	21	12.7
1920-11-01	12	65.9	75	169.7	17	7.9
1920-12-01	5.2	98.8	66	185.5	10.3	1.1
1921-01-01	4	56.5	64	202	9.4	-0.6
1921-02-01	3.5	86.2	59	207.1	9.2	-1.2
1921-03-01	6.2	99.3	59	209.1	11.5	1.3
1921-04-01	13.8	136.8	73	174.8	18.7	9.5
1921-05-01	16.4	269.4	78	180	20.7	12.7
1921-06-01	18.8	206.5	83	109.1	22.6	15.6
1921-07-01	24.3	209	83	201.1	28.4	21.4
1921-08-01	25.3	154.7	84	211	29.2	22.2
1921-09-01	21.3	448.8	86	118.4	24.7	18.5
1921-10-01	15.4	306.4	82	138.9	19.5	12
1921-11-01	9.3	4.6	67	232.2	16	3.7
1921-12-01	5	47	64	185.5	10.4	0.4
1922-01-01	0.6	60.5	60	194.1	5.5	-3.2
1922-02-01	7	226.9	71	157.6	12	2.9
1922-03-01	6.6	104.7	63	236.7	12.1	1.6
1922-04-01	13.3	180.1	71	209	18.3	8.5
1922-05-01	16.8	96.7	77	186.9	21.8	12.7
1922-06-01	21.7	139.9	78	230.8	26.6	17.5
1922-07-01	25	115.3	82	177.4	29.2	21.8
1922-08-01	27.3	199.3	80	263.6	32.2	23.6
1922-09-01	23.4	45.1	79	185	27.9	19.8
1922-10-01	16.8	168.9	77	197.7	22.4	12.4
1922-11-01	10.8	63.6	74	159.9	16.5	6.2
1922-12-01	4	10.2	58	224.4	9.9	-1.3
1923-01-01	1.7	64.2	65	183.7	6.9	-2.8
1923-02-01	3	119.8	68	118.5	7.6	-1
1923-03-01	7.9	107.5	70	189.2	13.1	3.2
1923-04-01	12	116.1	74	155.1	16.9	7.4
1923-05-01	16.8	192.4	81	127.5	20.8	13.3
1923-06-01	20.4	280.9	83	121	24	16.8
1923-07-01	24	168.2	84	139	27.8	20.7
1923-08-01	27.2	42.2	79	232.3	31.7	23.6
1923-09-01	23.4	259.4	80	133.2	27.7	19.7
1923-10-01	16.8	164	81	147.2	21.3	12.9
1923-11-01	12	138.1	75	150.9	16.7	7.7
1923-12-01	5.6	44.6	76	156.1	10.7	1.2
1924-01-01	2.7	8.7	66	201.6	8.8	-2.3
1924-02-01	4.5	68.4	64	177.7	9.8	-0.4
1924-03-01	5	64.2	59	220	10.1	0
1924-04-01	14.7	170.8	75	165.1	19.1	10.4
1924-05-01	16.9	168.3	72	212.6	21.9	11.9
1924-06-01	19.4	114.2	81	125.9	23.6	15.9
1924-07-01	26.1	12.9	78	258.6	30.8	22.2
1924-08-01	26.2	185.9	78	213.4	30.7	22.4
1924-09-01	21.8	363.2	80	140.1	25.9	18.2
1924-10-01	15.4	260.8	78	127.1	19.5	11.5
1924-11-01	9.9	28.4	70	201.8	16.1	4.6
1924-12-01	5.2	29.5	67	165.5	10.3	0.8
1925-01-01	2.9	43.1	63	184.1	7.9	-1.6
1925-02-01	2.4	53.5	64	157.9	6.9	-1.8
1925-03-01	6.2	33	58	229.2	12.2	0.5
1925-04-01	11.9	131.6	70	167.3	16.8	7
1925-05-01	16.1	109	77	180.9	21.2	10.9
1925-06-01	20.1	105.3	80	143.7	24.2	16.5
1925-07-01	23.2	128.5	82	195.7	27.1	19.6
1925-08-01	25.7	360.5	85	196.1	29.7	22.5
1925-09-01	22.9	359.4	85	160.8	26.6	19.4
1925-10-01	16.3	239.6	81	132.6	20.7	12.3
1925-11-01	11.4	100.7	75	155.5	16.5	6.7
1925-12-01	6.8	48.3	71	199	12.5	1.4
1926-01-01	3.1	7.3	62	191.2	9	-2.2
1926-02-01	4.6	50	62	167.7	9.8	-0.4
1926-03-01	6.3	70.6	66	195.8	11.2	1
1926-04-01	11.1	101.4	66	220.9	17.1	4.4
1926-05-01	16.3	235.5	77	168.8	21	11.6
1926-06-01	19	134.4	77	196.1	23.8	14.4
1926-07-01	24.6	60.8	78	202.2	28.9	20.9
1926-08-01	26.3	84.2	78	201	30.8	22.5
1926-09-01	23.2	182.4	79	140.6	27.3	19.9
1926-10-01	15	95.2	73	173.8	19.9	10.6
1926-11-01	9.8	41.3	64	195.8	15.6	4.9
1926-12-01	4.1	113.7	68	159.7	9.2	-0.9
1927-01-01	2.7	20.3	62	188.7	8.4	-2.6
1927-02-01	2.1	42.7	64	153.9	7	-2.5
1927-03-01	6.3	207	68	167.6	11.3	1.5
1927-04-01	13.5	112.3	73	194.8	18.2	8.8
1927-05-01	17.1	194.8	74	221.9	21.9	12.2
1927-06-01	20.5	120.8	78	183.9	25.1	16.2
1927-07-01	26	116.7	81	203.7	30.2	22.6
1927-08-01	26.6	107.3	78	224.4	31.4	22.8
1927-09-01	21.2	345	82	124.8	24.9	17.9
1927-10-01	16.7	80.1	78	150.2	21	12.6
1927-11-01	11.2	71.5	75	171	16.5	6.3
1927-12-01	5.5	26.4	71	160.3	10.7	0.8
1928-01-01	3.6	71.7	67	163.8	8.8	-1
1928-02-01	3.3	91	62	202.4	8.7	-1.7
1928-03-01	6.9	158.2	66	199.7	12	2
1928-04-01	12.5	169.8	74	218.8	17.2	7.7
1928-05-01	17.8	117.9	79	184.7	21.8	13.4
1928-06-01	20.3	320.8	84	105.4	23.5	17
1928-07-01	23.4	127.4	85	144.4	26.6	20.5
1928-08-01	24.1	247.3	87	115	27.7	21
1928-09-01	23.9	83.7	82	187.2	27.9	20.2
1928-10-01	16.7	265.9	82	115.6	20.6	13.2
1928-11-01	11.7	64.1	76	128.6	16.5	7.3
1928-12-01	5.4	32.6	65	146.7	10	0.9
1929-01-01	2.6	1.7	52	201.2	8.2	-2.7
1929-02-01	2.9	2.9	56	208.9	8.8	-2.8
1929-03-01	7.1	50.1	51	211.3	12.4	1.3
1929-04-01	12.6	134.8	69	187.7	16.8	7.4
1929-05-01	15.9	255.3	77	146.3	19.7	12
1929-06-01	20.6	115.7	76	189.6	24.7	16.4
1929-07-01	25.9	58.4	78	226.8	29.8	22.4
1929-08-01	27.1	63.6	75	240.2	31.4	23.2
1929-09-01	20.5	544.1	82	109.1	24.3	17.1
1929-10-01	16.5	323.1	79	110.5	20.2	13.1
1929-11-01	11	203.7	78	103.1	14.8	7.3
1929-12-01	8.6	155.7	74	117.3	12.8	4.7
1930-01-01	3.8	41.4	63	174.2	8.4	-0.3
1930-02-01	5.4	108.3	64	150.8	9.6	1.5
1930-03-01	8.8	162.1	72	143.1	13	4.4
1930-04-01	14	149	73	166.1	18.6	9.4
1930-05-01	17.7	105.2	73	186.7	22.2	13.4
1930-06-01	21.4	123.2	79	147.5	25.1	17.7
1930-07-01	26.3	139.3	82	162.6	30	22.9
1930-08-01	26.8	51.5	79	211	30.6	23.4
1930-09-01	21.5	191.9	77	193.6	26.2	17.4
1930-10-01	16.7	255.6	77	144	21.3	12.6
1930-11-01	10.3	77.7	72	170.1	15.6	5.5
1930-12-01	5.2	71	73	150.4	10.1	1
1931-01-01	2.9	73	65	149.5	7.8	-1.4
1931-02-01	2.5	85.3	71	88.9	6.4	-0.9
1931-03-01	7.9	83	59	212.5	13.6	2.8
1931-04-01	12.4	69.7	65	179.9	17.4	7.4
1931-05-01	16.3	244.2	71	244.5	21	11.3
1931-06-01	20.4	114.9	78	181.7	24.3	16.7
1931-07-01	21.8	193.6	84	106.5	25.1	19
1931-08-01	26.4	49	78	267.2	30.4	22.8
1931-09-01	22.5	228	80	118.3	26.4	19.2
1931-10-01	16.3	249.1	79	137.3	21	12.3
1931-11-01	11.5	107.6	74	132.8	15.9	7.3
1931-12-01	6.9	67.1	70	135.8	12.1	2.3
1932-01-01	5.9	38.7	68	192.8	11.5	1
1932-02-01	4.3	61.2	59	187.9	9.2	-0.1
1932-03-01	6.9	108	64	212.8	12.2	1.6
1932-04-01	12.3	156.5	68	189.3	16.9	7.3
1932-05-01	18	63.8	70	233.1	22.6	13
1932-06-01	19.8	187.4	80	111.2	23.4	16.4
1932-07-01	25.7	115.5	82	187.1	29.4	22.5
1932-08-01	26.7	86.8	79	205.3	30.6	23.6
1932-09-01	21.8	363.1	84	110.5	25.3	19
1932-10-01	16.5	153.9	77	131.3	20.7	12.9
1932-11-01	10.9	267.7	74	123.6	16.1	6.8
1932-12-01	6	87.4	69	148.4	11.1	1.7
1933-01-01	3.2	58.4	64	141.9	7.6	-0.6
1933-02-01	3.6	18.7	60	172.6	8.5	-0.6
1933-03-01	5.8	133.9	70	127.6	9.6	2
1933-04-01	12.3	135.4	75	104.3	16.2	8.4
1933-05-01	18.1	60.3	74	219.6	23.1	13.5
1933-06-01	21.9	34.1	76	185.6	26	18
1933-07-01	26.6	44.2	78	215.1	30.7	23.2
1933-08-01	27.5	43.2	78	218.4	31.6	24.1
1933-09-01	23.1	42.7	72	206.7	27.8	19
1933-10-01	16.8	301.9	76	147.9	21.5	12.7
1933-11-01	11.2	84.1	73	148	16.3	6.8
1933-12-01	6.2	54.4	68	193.3	11.7	1.4
1934-01-01	2.5	18.4	59	213.1	8.3	-2.4
1934-02-01	4	28.3	57	199.2	9.7	-1
1934-03-01	6.1	68.3	63	202.8	11.4	0.8
1934-04-01	11.5	150	71	166	16.1	6.9
1934-05-01	17.8	83.9	73	226.8	22.5	13.2
1934-06-01	22	133.5	76	186.7	26.3	17.9
1934-07-01	23.9	111.1	84	105	27.5	20.9
1934-08-01	26.1	23.4	79	184.3	30.4	22.5
1934-09-01	21.6	200.6	84	74.4	25.1	18.6
1934-10-01	14.6	196.1	79	112.2	18.5	11
1934-11-01	10.8	141.5	69	156.1	15.9	6.4
1934-12-01	5.9	91.6	66	131.2	10.6	1.9
1935-01-01	3.7	58.6	63	193.7	8.9	-0.8
1935-02-01	4.8	110.7	68	143.7	9.4	0.7
1935-03-01	7.1	115.9	62	193.4	12.5	2.3
1935-04-01	12.5	142.2	69	182.1	17.3	7.7
1935-05-01	16.7	84.2	70	200	21.2	12.2
1935-06-01	21.5	131.3	74	189	25.8	17.8
1935-07-01	24.3	99.1	78	181.3	28.3	20.7
1935-08-01	24.8	196.6	81	172.4	28.2	21.9
1935-09-01	20.8	369.3	83	100.1	24.3	18
1935-10-01	17.1	214.4	75	163	22.1	13.2
1935-11-01	10.7	74.7	71	146.2	15.6	6.4
1935-12-01	5.5	59.8	69	141	10.8	1.2
1936-01-01	2	32.1	57	212.6	7.5	-2.8
1936-02-01	2.5	129	60	158.5	6.8	-1.2
1936-03-01	6.1	41.4	63	201.3	11.1	1.5
1936-04-01	12	198.9	68	154.1	16.9	7.4
1936-05-01	16.4	169.1	75	156.2	20.5	12.5
1936-06-01	21.4	120.4	78	202.3	25.1	17.8
1936-07-01	24.9	246.3	79	218	28.9	21.2
1936-08-01	26.5	92.5	77	208.8	30.8	22.8
1936-09-01	24.2	232	79	170.4	28.5	20.7
1936-10-01	16	252.8	74	123.3	20.1	12.2
1936-11-01	11.2	60.1	69	136.6	15.4	7.3
1936-12-01	6.2	53	70	143.9	11.4	2
1937-01-01	4.6	78.1	65	142.2	9.2	0.4
1937-02-01	5.7	144.9	70	132.7	10.4	1.6
1937-03-01	8.1	145.7	63	168.2	13.2	3.5
1937-04-01	12.8	126.5	68	189.7	17.6	8.1
1937-05-01	17.6	124.5	71	200.4	22.1	13.3
1937-06-01	19.6	131.4	77	156.2	23.4	15.7
1937-07-01	26.3	48.6	80	227.6	29.8	23.4
1937-08-01	28.2	10.8	73	284.9	32.8	24.3
1937-09-01	22.7	181.6	76	171.5	26.9	19
1937-10-01	16.3	192.2	78	132.3	20.6	12.8
1937-11-01	11.2	95.4	74	137.9	15.9	7.3
1937-12-01	5.2	79.3	59	222.1	11.1	0
1938-01-01	2.7	32	59	198.1	8.2	-2.1
1938-02-01	3.4	65.5	56	206.6	8.2	-1.1
1938-03-01	8.8	92	73	134.6	13.2	4.7
1938-04-01	13.2	96.4	65	213	18.3	8
1938-05-01	18.7	127.5	77	180.2	22.7	14.8
1938-06-01	20.8	649	82	130.1	24.8	17.5
1938-07-01	25	255.1	80	170.4	29.1	21.8
1938-08-01	26	191.9	81	181.9	29.7	23.2
1938-09-01	22.4	265.2	78	138.1	26.4	19.2
1938-10-01	16.7	351.5	78	142.6	20.9	12.8
1938-11-01	10.8	21	66	183.4	16.4	6.5
1938-12-01	5.9	82.5	64	167.7	10.7	1.5
1939-01-01	2.4	35.1	54	199.9	7.2	-1.8
1939-02-01	4.1	52.7	55	184.4	9.1	-0.2
1939-03-01	7.4	98.3	59	217.1	12.6	2.7
1939-04-01	12.8	211.3	71	186.4	17.3	7.9
1939-05-01	17	139.1	72	211.6	20.9	13.3
1939-06-01	20.7	235.4	79	184.9	24.7	16.9
1939-07-01	26.5	172.2	78	246.3	30.7	23.1
1939-08-01	25.8	293.5	81	226.8	29.8	22.4
1939-09-01	23.7	266.7	79	160.9	27.7	20.4
1939-10-01	17.9	182.1	78	136.5	22.1	14.5
1939-11-01	12.3	53.8	73	136.7	16.9	8.2
1939-12-01	5.4	9.8	67	173	11.1	0.2
1940-01-01	2.7	0	53	226.1	8.9	-2.7
1940-02-01	3.7	53.9	54	188.5	8.9	-0.8
1940-03-01	8.2	65.2	59	228.6	13.3	3
1940-04-01	13.1	163.4	68	219.2	18	8.2
1940-05-01	17.7	54.3	70	269.5	23	12.5
1940-06-01	22.1	185.7	76	233.4	26.8	18
1940-07-01	26.9	28.4	75	267.2	31.8	22.9
1940-08-01	24.9	187	81	198.7	29	21.4
1940-09-01	21.7	191.5	79	158.6	26.2	18.2
1940-10-01	17.8	72.3	76	160.5	22.2	14
1940-11-01	12.3	65.8	76	118.1	16.7	8.4
1940-12-01	6.2	26.9	67	174.4	11.5	1.4
1941-01-01	4.8	51.7	64	199.3	10.6	-0.2
1941-02-01	5	64.5	58	185.9	10.5	0.3
1941-03-01	8.2	157	66	166.3	12.9	3.7
1941-04-01	12.7	75.1	71	185.1	17.3	8.1
1941-05-01	17.6	206.9	74	190.6	21.9	13.3
1941-06-01	20.8	209.6	81	118.7	24.3	17.3
1941-07-01	23.7	673.7	84	122.9	27.4	20.8
1941-08-01	25.4	181.5	83	146.6	29.3	22.5
1941-09-01	20.6	218.6	83	104.5	24.2	17.4
1941-10-01	17.3	54.6	73	193.6	22.5	13
1941-11-01	11.7	165.6	75	98.2	16.2	7.9
1941-12-01	6.9	96.4	69	145.6	11.9	2.9
1942-01-01	2.9	5.9	60	217.3	8.8	-2.3
1942-02-01	2.6	75.7	65	139.5	7.2	-1.3
1942-03-01	10.3	113.6	67	177.1	15.8	5.2
1942-04-01	13.6	155	64	208.6	18.8	7.5
1942-05-01	17.3	132.6	72	200.9	22	12.6
1942-06-01	22.2	171.9	77	139.5	26.3	18.4
1942-07-01	27.5	8.6	77	215.4	31.9	23.8
1942-08-01	27	277.3	77	210.7	31.3	23.5
1942-09-01	24.9	278	77	158	29.1	21.4
1942-10-01	16.4	147.4	72	184.5	21.4	12.1
1942-11-01	10.1	81.6	68	178.6	15.4	5.6
1942-12-01	5.4	21.9	63	188.2	10.8	1.1
1943-01-01	2.4	61.9	57	220.4	8	-2.5
1943-02-01	4	91.2	55	203.4	9.4	-0.9
1943-03-01	6.8	31.4	58	191	11.9	2.4
1943-04-01	11.8	120.3	67	208.4	16.8	6.5
1943-05-01	17.8	131.5	73	193.9	22.5	13.1
1943-06-01	21.5	125.2	76	122.4	25.6	18.1
1943-07-01	25.1	134.9	79	213.3	29	22
1943-08-01	27.4	109	78	235.2	31.9	23.7
1943-09-01	24.4	186.3	79	125	28.4	21.2
1943-10-01	17.2	363.4	78	131.9	21.3	13.9
1943-11-01	10.8	22.5	71	162	16.2	6.5
1943-12-01	5.7	13.7	64	170.1	11.4	1.4
1944-01-01	3	12.3	54	172.2	8.7	-1.5
1944-02-01	3.2	27.7	56	188	8.8	-1.5
1944-03-01	5.6	118.1	67	162.4	10.8	0.9
1944-04-01	10.6	188.8	68	170.7	15.7	6.1
1944-05-01	17.7	69.4	75	183.6	22.5	13.1
1944-06-01	22.3	93	78	191.5	27	18.4
1944-07-01	25.6	118.7	80	195.2	30.3	21.7
1944-08-01	27.5	53.2	78	242	32.1	23.9
1944-09-01	23.2	76.9	76	161.5	27.6	19.6
1944-10-01	16.3	418.8	80	112.8	20.4	13
1944-11-01	10.9	129.2	76	144.7	15.4	7.3
1944-12-01	4.3	22.7	66	189.7	10.4	-0.2
1945-01-01	1.1	2.1	60	204.9	7.4	-3.8
1945-02-01	1.6	100.3	57	193	6.9	-2.8
1945-03-01	6.6	57	64	189.1	11.8	1.9
1945-04-01	13.5	94	66	210.7	19.8	7.9
1945-05-01	15.6	130.9	75	184	20.7	11.2
1945-06-01	20.4	89.1	81	129.5	24.6	17.1
1945-07-01	22	208.5	81	149.9	26.1	18.7
1945-08-01	26.7	126.8	80	248.1	31.3	23.1
1945-09-01	22.4	118.4	79	122.8	26.5	19.1
1945-10-01	16.8	530.8	83	127.6	20.9	13.2
1945-11-01	11.3	120.8	73	186.4	16.8	6.9
1945-12-01	4.8	37.2	64	220.7	11.1	0
1946-01-01	3.5	33.4	63	193.1	9.3	-1.3
1946-02-01	4.2	95.4	60	164.1	9.5	0.1
1946-03-01	6.2	103.7	67	163	10.7	2.2
1946-04-01	14.3	118.8	70	210.1	19.6	9.4
1946-05-01	16.9	113.3	76	141.6	21.2	12.9
1946-06-01	23.3	59.7	76	232.4	28	19.4
1946-07-01	26.2	127	81	214	30.8	22.7
1946-08-01	26.7	56.2	81	230.6	31.4	23.3
1946-09-01	23.1	145.5	77	167	28	19.3
1946-10-01	17.3	234.3	78	166.9	22	13.2
1946-11-01	12.4	113.1	78	123.7	17.1	8.8
1946-12-01	4.7	35.9	68	182.7	10.4	0.1
1947-01-01	3.4	69.9	70	152.3	8	-0.6
1947-02-01	2.7	36	62	199.1	8.9	-2.4
1947-03-01	6.8	77	67	176.5	11.9	1.9
1947-04-01	13.1	62.1	66	246.2	19	7.3
1947-05-01	16.9	146.6	79	187.2	21.7	12.6
1947-06-01	19.2	90.1	86	89.8	22.8	16.4
1947-07-01	25.7	19.9	80	242	30.5	22
1947-08-01	28	128	77	277.9	33.3	23.9
1947-09-01	22.9	213.2	81	130.3	27.1	19.4
1947-10-01	15.6	121.4	74	141.8	19.8	12
1947-11-01	10.3	27.2	67	173.4	15.7	5.5
1947-12-01	4.1	46.4	64	157.7	9.6	-0.6
1948-01-01	4	39.7	65	191.1	10.1	-0.9
1948-02-01	5.1	75.5	59	178.7	10.6	0.6
1948-03-01	6.5	67.4	68	149.9	11.3	2.2
1948-04-01	14.2	149.2	75	183.2	18.6	9.9
1948-05-01	18.1	93.4	76	146.1	22.5	14
1948-06-01	21.6	215.5	80	145.3	25.6	18.3
1948-07-01	26	323	82	177	30.6	22.7
1948-08-01	25.4	287.6	83	151.2	29.7	22.4
1948-09-01	23.8	197.6	76	174.2	28.2	20.1
1948-10-01	17.4	65	77	129.4	21.8	13.9
1948-11-01	11.9	193.3	71	143.6	17	7.6
1948-12-01	7.9	50.2	72	136.4	13.1	3.7
1949-01-01	5.4	54.5	65	183.5	11.7	0.2
1949-02-01	6.5	70.9	67	135.9	11.5	2
1949-03-01	6.7	56.8	61	171	11.9	1.9
1949-04-01	12.1	120.5	62	215.5	17.4	7.2
1949-05-01	18.4	109.7	74	195.3	23.4	13.9
1949-06-01	19.4	284.3	80	115.5	23.1	16.3
1949-07-01	25.3	81.6	79	227.6	29.5	21.9
1949-08-01	26.6	253.2	79	197.4	31.4	22.9
1949-09-01	22.4	200.1	82	144.3	27	18.6
1949-10-01	16.1	296.9	81	113.9	20.3	12.9
1949-11-01	10	167.1	74	105.4	14.5	6.2
1949-12-01	6	86.5	70	153.5	10.6	2.1
1950-01-01	5	89.3	62	175.8	10	0.6
1950-02-01	4.7	78.7	62	138.5	9.5	0.7
1950-03-01	7.7	69.3	61	178.7	13.6	3
1950-04-01	13.9	147.4	72	147.5	18.8	10.1
1950-05-01	19.2	111.8	76	163.1	24	15.5
1950-06-01	21.8	372.1	83	125.9	25.4	19
1950-07-01	26.5	253.8	78	249.4	31	23.5
1950-08-01	26.2	297.7	83	178.6	30.4	23.2
1950-09-01	23.8	64.9	78	172.6	28.6	20.8
1950-10-01	15.8	223.5	76	120.7	20.4	12.3
1950-11-01	11.1	116.4	73	120.7	15.9	7.1
1950-12-01	5.4	126.8	65	165.9	11.2	0.9
1951-01-01	3.3	36.4	61	183.1	8.6	-1
1951-02-01	4.5	120.4	62	155.5	9.7	0.4
1951-03-01	8.8	149.1	64	156.3	14.2	4.1
1951-04-01	13.3	177.1	69	146.1	18.3	9
1951-05-01	18	86.4	72	198.7	23.3	13.9
1951-06-01	21.2	144.3	76	168	25.9	17.3
1951-07-01	24.3	157.4	84	162	28.3	21.2
1951-08-01	26.7	220.6	80	218.2	31.6	23.5
1951-09-01	20.7	217.8	79	99.7	24.7	17.4
1951-10-01	17.3	170.1	80	126.2	21.7	13.9
1951-11-01	11.4	68.4	67	165.9	16.8	6.8
1951-12-01	7.3	41.8	63	173.9	13.4	2.2
1952-01-01	4.3	98.9	62	177.7	9.7	-0.1
1952-02-01	2.6	79.9	67	107.4	6.8	-0.6
1952-03-01	7.4	221.2	68	152.2	12.1	3.7
1952-04-01	13.3	202.8	72	165.5	18.3	9
1952-05-01	18.1	136.7	69	228.5	23.2	13.8
1952-06-01	21.3	242.6	81	134.6	25.5	17.9
1952-07-01	24.3	205.3	83	158.5	28.2	21.5
1952-08-01	26.8	73.3	81	203.1	31.4	23.7
1952-09-01	22.7	129	81	107.2	26.9	19.6
1952-10-01	17.3	105	74	128.3	21.8	13.8
1952-11-01	12	124.4	75	121.9	16.5	8.2
1952-12-01	5.3	21.5	70	152.5	10.6	1
1953-01-01	3.3	38.2	59	183.3	8.7	-1
1953-02-01	4.2	42.1	59	158.4	9.7	-0.7
1953-03-01	9.4	136.5	66	159.3	14.6	5.1
1953-04-01	12.7	49.6	61	197.8	17.6	8
1953-05-01	17.8	170.3	71	186.4	22.3	13.9
1953-06-01	20.6	191.2	83	84.2	24.6	17.6
1953-07-01	24.7	183.8	82	127	28.3	22
1953-08-01	25	247.2	82	116.4	28.9	22.4
1953-09-01	22.2	248.1	82	106.4	26.1	19.2
1953-10-01	17.2	144	74	167.3	21.7	13.6
1953-11-01	10.4	21.3	62	169.6	15.7	6.4
1953-12-01	7.6	47.1	66	130.4	12.1	3.8
1954-01-01	4.3	120.4	67	129.2	8.6	0.4
1954-02-01	5.6	53	62	176.8	11.6	0.5
1954-03-01	8.4	115.2	60	178.7	13.1	4.2
1954-04-01	14.9	177.3	72	146.3	19.4	10.9
1954-05-01	17.6	136.8	71	158.9	21.8	13.8
1954-06-01	18.3	304.5	81	82.6	21.6	15.6
1954-07-01	22.3	121.9	80	105.4	25.7	19.9
1954-08-01	27	120.8	77	199.4	31	24.2
1954-09-01	24.6	246.4	78	159.3	28.5	22
1954-10-01	15.5	145.1	74	116.2	19.7	12.6
1954-11-01	11.7	149.6	68	168.4	16.5	7.5
1954-12-01	7.1	79.7	61	150.3	11.9	3.5
1955-01-01	3.8	43.3	54	215.9	9.6	-1.2
1955-02-01	6.2	89.4	56	174.6	12.1	1.4
1955-03-01	8.7	170.5	68	101.2	12.7	5.5
1955-04-01	13.6	87.5	70	143.1	17.9	9.7
1955-05-01	18.2	158.2	75	173.1	22.5	14.5
1955-06-01	22.7	81	77	148.2	26.8	19.6
1955-07-01	27.6	71	76	246.6	31.8	24.3
1955-08-01	26.3	201.9	78	189.8	30.2	23.3
1955-09-01	22.3	197.9	77	129.1	26.4	18.9
1955-10-01	17.6	319.4	76	117.6	21.8	14.8
1955-11-01	11	110.3	68	184.1	16.4	6.6
1955-12-01	7.9	23.5	59	194.8	13.8	3.2
1956-01-01	4.2	102.2	59	185.5	9.8	-0.5
1956-02-01	4.3	52.3	55	173.4	9.8	-0.3
1956-03-01	8.6	152.6	65	143	13.4	4.7
1956-04-01	13.1	137.5	68	170.2	17.9	9.3
1956-05-01	17.6	309.1	75	133.5	21.8	13.8
1956-06-01	22.3	151.6	76	142.4	26.1	19.2
1956-07-01	24.2	64.8	81	134.7	28.1	21.1
1956-08-01	25.4	107.1	75	164.5	29.7	22.2
1956-09-01	22.7	197.1	81	132.4	26.8	20.1
1956-10-01	17.3	302.8	79	84.7	20.8	14.6
1956-11-01	11.8	75.9	70	133.4	16.1	8.3
1956-12-01	5	4.3	54	217	11	-0.2
1957-01-01	5.7	2.6	51	161.2	11	1.2
1957-02-01	4.3	93.9	58	128.3	8.7	0.4
1957-03-01	6.8	77.4	50	216.3	12.4	1.9
1957-04-01	14.3	118.5	67	151.7	18.7	10.2
1957-05-01	17.1	164.1	70	191.9	21.3	13.4
1957-06-01	19.8	320.9	79	104.1	23.4	16.7
1957-07-01	24.4	143.1	83	91.9	27.8	21.8
1957-08-01	27.3	47.4	78	190.3	31.2	24.6
1957-09-01	20.8	243.6	78	76.8	24.4	18.2
1957-10-01	17.2	121.8	74	141.2	21.7	13.5
1957-11-01	12.9	51.6	67	164.1	17.7	9
1957-12-01	8	115.1	63	163	12.8	3.9
1958-01-01	5	69.5	57	190.7	10.1	0.6
1958-02-01	6	67.1	55	180.3	11.1	1.8
1958-03-01	8.4	62.9	62	158.6	13.5	4.3
1958-04-01	13.9	47.5	65	161.4	18.6	9.6
1958-05-01	18	80.3	68	205.1	23	13.5
1958-06-01	22	63	75	174.9	26.4	18.4
1958-07-01	24.9	197.5	80	129.3	28.9	21.9
1958-08-01	25.8	83.4	79	161	29.7	23
1958-09-01	23.2	670.9	78	132.6	27.3	20.3
1958-10-01	16	275.9	76	119.5	19.7	13
1958-11-01	11.1	89.4	71	117.6	15.4	7.7
1958-12-01	7.9	97.5	65	187.7	13.3	3.6
1959-01-01	3.7	54.7	61	170	8.9	-0.5
1959-02-01	7.3	115.3	69	118.5	12	3.6
1959-03-01	8.9	92.3	64	179.4	13.6	4.9
1959-04-01	15.3	162.7	62	191.3	20.2	10.8
1959-05-01	18.5	196.9	69	194.2	23.2	14.4
1959-06-01	20.4	123	78	113.9	24.4	17.5
1959-07-01	26.1	71	79	157.5	29.9	23.2
