"name","region","type","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"Canada","America","income","1159.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1312.47","-","-","-","-","-","-","-","-","-","1451.18","-","-","-","-","-","-","-","-","-","1686.35","-","-","-","-","-","-","-","-","-","1929.46","-","-","-","-","-","-","-","-","-","2105.05","-","-","-","-","-","-","-","-","-","2459.06","2546.14","2474.56","2672.9","2690.08","2588.86","2381.27","2506.83","2375.88","2561.68","2635.18","2959.8","3060.65","3033.5","3237.49","3008.03","3011.56","3076.36","3263.56","3249.51","3451.46","3495.5","3440.52","3386.62","3512.53","3440.7","3321","3644.66","3749.07","4056.95","4224.78","4493.99","4833.78","4837.7","4759.25","5168.85","5581.55","5623.11","5183.71","5586.47","5900.16","6113.16","6352.01","6453.07","5841.42","6142.69","6742.36","6966.52","6444.11","5832.8","5603.71","4871.63","5504.55","5769.84","5771.38","6298.53","6526.05","7033.87","7504.92","7350.88","6981.06","5810.09","5327.95","4891.07","5356.36","5733.08","5984.97","6491.73","6596.94","6919.43","7790.3","8780.77","10206.71","10539.59","10800.51","10351.21","10058.5","10286.28","10253.07","10251.27","10581.27","10932.47","11367.16","11586.61","11173.26","11901.51","12555.55","12489.95","12384.41","12590.8","12701.48","12817.92","13462.49","13882.56","14510.9","15198.11","15884.84","16076.59","16658.21","17286.99","17487.46","18229.64","18970.57","20081.31","20613.59","20775.51","21626.09","22090.88","22754.83","23465.83","23473.9","23904.53","22898.79","23329.8","24431.85","25514.79","25921.17","26626.52","27562.41","27729.9","27387.27","26491.6","26342.88","26590.4","27543.91","27969.67","28074.84","28954.93","29837.46","31154.86","32448.61","32570.57","33328.97","33635.25","34346.97","35078","35714.67","36225.06","35950.08","34569.63"
"Mexico","America","lifeExpectancy","26.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.9","-","-","23.29","26.62","29.52","28.8","26.24","27.03","24.98","27.58","26.65","28.37","28.68","29.09","26.8","27.88","27.97","28.72","29.21","27.41","-","-","-","-","-","-","-","-","-","-","-","32.6","33.5","32.8","32.1","34.2","40.3","34.5","35.4","36.2","37.7","38.4","37.3","38.2","40.4","38.3","36.8","39.4","45.5","39.2","42.6","39.8","42.8","43.2","44.2","44.8","46.3","48.3","45.8","48.56","49.12","50.21","51.25","52.24","53.18","54.07","54.9","55.69","56.41","57.07","57.66","58.18","58.64","59.06","59.43","59.79","60.15","60.52","60.92","61.35","61.82","62.32","62.84","63.37","63.92","64.47","65.01","65.55","66.06","66.56","67.04","67.5","67.94","68.37","68.79","69.2","69.61","70","70.4","70.8","71.19","71.59","71.98","72.37","72.74","73.1","73.43","73.73","74.01","74.26","74.51","74.75","74.99","75.24","75.49","75.74","75.99","76.23","76.47"
"Mexico","America","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6587000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7662000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9219000","9331000","9444000","9558000","9674000","9791000","9910000","10030000","10151000","10274000","10399000","10524000","10652000","10781000","10912000","11044000","11178000","11313000","11450000","11589000","11729000","11904000","12083000","12263000","12447000","12663000","12822000","13014000","13209000","13406000","13607000","13755000","13904000","14055000","14208000","14363000","14519000","14676000","14836000","14997000","15000000","14990000","14980000","14970000","14960000","14950000","14940000","14930000","14920000","14910000","14900000","14895000","15129000","15367000","15609000","15854000","16103000","16356000","16613000","16875000","17175000","17480000","17790000","18115000","18445000","18781000","19040000","19370000","19705000","20047000","20393000","20955000","21532000","22125000","22734000","23724000","24413000","25122000","25852000","26603000","28485180","29296235","30144317","31031279","31959113","32929914","33945886","35015548","36141955","37328466","38578505","39836230","41121485","42434264","43774575","45142399","46537832","47995559","49518803","51110928","52775158","54406901","55984294","57557303","59122839","60678045","62219964","63759976","65295990","66825878","68347479","69969263","71640904","73362881","75080138","76767225","78442430","80122492","81781816","83366836","84913652","86488032","88111030","89749141","91337896","92880353","94398579","95895146","97325063","98616905","99926620","101246961","102479927","103718062","104959594","106202903","107449525","108700891","109955400","-"
"Mexico","America","income","1053.6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1105.63","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","981.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1472.82","-","-","-","-","1649.1","1675.45","1762.72","1838.1","1721.61","1709.31","1837.59","1686.64","1857.23","1869.64","2043.53","1998.24","2093.88","2067.87","2106.18","2102.03","2017.76","2000.96","1880.29","1883.54","1856.03","1999.11","2084.7","2165.95","2252.31","2395.46","2386.88","2404.07","2447.87","2368.93","2477.54","2586.29","2430.9","2406.84","2274.99","2095.67","2128.79","1774.36","1944.06","2041.55","2157.92","2292.82","2328.97","2326.41","2411.19","2402.91","2570.67","2644.12","2669.16","2813.56","2824.38","2932.21","2952.46","2992.76","3074.34","3293.78","3447.11","3478.13","3380.66","3614.58","3810.53","3953.72","4131.55","4224.17","4220.45","4433.09","4512.03","4581.61","4803.87","5213.6","5384.97","5584.87","5754.73","6036.64","6222.44","6450.93","6486.92","6809.41","7130.34","7322.16","7519.08","7630.74","7674.93","8156.87","8734.87","9319.56","9890.22","9611.15","9063.14","9177.23","9184.99","8713.36","8688.16","8628.26","8815.27","9103.39","9315.66","9472.38","9482.49","9733.59","8954.52","9274.7","9767.3","10108.77","10358.8","10894.51","10763.08","10742.44","10778.21","11118.69","11317","11772.08","12057.97","12135.33","11250.37"
"United States","America","lifeExpectancy","39.41","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","39.41","-","-","-","-","-","-","-","-","-","45.21","-","-","-","-","-","-","-","-","-","-","49.3","50.5","50.6","49.6","50.3","50.1","50.2","51.9","52.8","51.8","53.4","54.1","53.5","54.6","55.1","54.2","54","47.2","55.3","55.4","58.2","58.1","57.5","58.5","58.5","57.9","59.4","58.3","58.5","59.6","60.3","61","60.95","60.31","60.97","60.42","61.11","62.44","63.12","63.28","63.84","64.63","64.34","65.13","65.63","66.33","66.73","67.3","67.68","68.12","68.22","68.44","68.79","69.58","69.63","69.71","69.49","69.76","69.98","69.91","70.32","70.21","70.04","70.33","70.41","70.43","70.76","70.42","70.66","70.92","71.24","71.34","71.54","72.08","72.68","72.99","73.38","73.58","74.03","73.93","74.36","74.65","74.71","74.82","74.79","74.87","75.01","75.03","75.31","75.6","75.8","76.08","75.83","76","76.09","76.44","76.8","76.97","76.97","77.13","77.25","77.31","77.49","77.92","77.93","78.21","79.09","79.27","79.43"
"United States","America","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9980510","10298969","10625503","10951077","11276695","11602355","11928057","12250905","12580590","12906416","13240314","13658580","14077890","14496235","14914618","15334042","15752501","16170997","16590533","17009101","17443768","18056100","18667464","19278865","19890301","20502776","21114282","21725822","22337396","22950007","23579718","24405303","25230918","26156953","26882238","27707943","28534680","29360442","30186232","31012051","31838901","32677742","33515609","34354509","35192433","36031388","36869368","37708378","38546412","39385476","40240630","41098000","42136000","43174000","44212000","45245000","46287000","47325000","48362000","49400000","50458000","51743000","53027000","54311000","55595000","56879000","58164000","59448000","60732000","62016000","63302000","64612000","65922000","67231000","68541000","69851000","71161000","72471000","73781000","75091000","76391000","77888000","79469000","80946000","82485000","84147000","85770000","87339000","89055000","90845000","92767000","94234000","95703000","97606000","99505000","100941000","102364000","103817000","104958000","105473000","106881000","108964000","110484000","112387000","114558000","116284000","117857000","119502000","120971000","122245000","123668000","124633000","125436000","126180000","126978000","127859000","128681000","129464000","130476000","131539000","132637000","133922000","135386000","137272000","138937000","140474000","141940000","144688000","147203000","149770000","152271000","154878000","157553000","160184000","163026000","165931000","168903000","171984000","174882000","177830000","180671000","183691000","186538000","189242000","191889000","194303000","196560000","198712000","200706000","202677000","205052000","207661000","209896000","211909000","213854000","215973000","218035000","220239000","222585000","225055000","227726463","229966237","232187835","234307207","236348292","238466283","240650755","242803533","245021414","247341697","250131894","253492503","256894189","260255352","263435673","266557091","269667391","272911760","276115288","279294713","282338631","285023886","287675526","290342554","293027571","295734134","298444215","301139947","303824646","-"
"United States","America","income","1912.62","1948.59","1981.63","1946.61","1944.22","1987.88","2024.49","2045.45","1896.7","1993.22","2050.52","2093.55","2056.15","2079.25","2119.35","2111.19","2023.09","2021.75","2027.3","2023.02","2011.22","2043.38","2101.55","2077.84","2134.86","2184.19","2200.15","2210.11","2209.17","2133.96","2293.67","2438","2530.55","2620.99","2491.55","2589.99","2629.47","2543.05","2520.65","2646.12","2512.15","2457.92","2436.73","2476.52","2614.36","2656.44","2673.07","2744.83","2817.92","2743.7","2754.9","2871.34","3022.03","3235.59","3244.9","3172.17","3239.39","3167.39","3182.83","3270.94","3359.31","3288.25","3393.61","3617.64","3739.47","3541.92","3514","3632","3681.88","3781.48","3970.93","4044.9","4106.03","4198.88","4055.76","4170.62","4131.67","4181.78","4275.61","4718.64","5178.86","5239.22","5428.53","5402.76","5362.11","5277.75","5332.39","5472.26","5330.85","5549.39","5524.7","5584.39","5717.15","5579.84","5297.88","5828.93","5603.9","5962.94","6008.89","6609.78","6624.3","7305.78","7282.17","7356.13","7494.66","8031.68","8205.42","7928.61","7339.85","8048.39","7913.7","8010.71","8317.33","8448.56","7615.96","7758.77","8875.24","8714.46","9254.58","8908.37","8568.17","8068.82","8504.51","9512.22","9544.98","9581.57","9990.36","9869.44","9892.79","10387.38","9346.2","8640.93","7433.95","7267.63","7977.82","8601.16","9629.63","10028.34","9569.07","10225.26","10948.06","12667.38","14819.55","16980.87","18085.1","17614.95","15431.41","14931.55","15266.38","14866.24","15855.86","16750.74","17039.38","17471.28","16979.26","17822.45","17783.27","17749.5","17217.39","18084.11","18175.43","18226.62","18978.45","19461.1","20243.98","21209.93","22263.22","22495.68","23268.21","23669.41","23345.77","23744.67","24654.04","25742","25281.7","24889.6","25881.72","26715.14","27814.18","28278.91","27838.11","28160.14","27243.47","28119.69","29785.25","30636.21","31297.31","31953.81","32860.52","33587.09","33710.39","33076.87","33589.59","33914.89","34730.56","35053.29","35807","36847.81","37811.68","38912.58","39758.5","39474.11","39535.84","40044.18","40956.4","41674","42385.18","42866.22","42656.49","41256.08"
"Austria","Europe & Central Asia","lifeExpectancy","34.4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","34.4","-","-","-","-","-","-","-","-","-","-","35","-","-","-","-","-","-","-","-","-","37.3","-","-","-","-","-","-","-","-","-","42","-","40.1","-","-","-","-","-","-","-","45.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","56.45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","61.31","63.24","63.43","64.88","65.26","66.8","67.29","67.32","67.6","67.72","67.48","68.49","68.42","68.78","69.75","69.54","69.67","70.16","69.95","70.26","70.14","70.29","70.06","70.11","70.31","70.63","71.21","71.2","71.33","71.82","72.17","72.25","72.56","72.7","73.02","73.18","73.25","73.79","74.01","74.49","74.93","75.41","75.5","75.77","75.83","76.04","76.27","76.59","76.83","77.1","77.5","77.87","78.05","78.33","78.83","78.96","78.96","79.47","79.64","80.1","80.3","80.51","80.23"
"Austria","Europe & Central Asia","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3369000","3386000","3402000","3419000","3436000","3452000","3469000","3486000","3504000","3521000","3538000","3555000","3573000","3590000","3608000","3626000","3614000","3662000","3680000","3698000","3716000","3739000","3762000","3785000","3808000","3831000","3855000","3878000","3902000","3926000","3950000","3978000","4006000","4035000","4063000","4092000","4120000","4150000","4178000","4206000","4235000","4263000","4292000","4321000","4350000","4380000","4409000","4439000","4469000","4499000","4520000","4562000","4604000","4646000","4688000","4730000","4772000","4815000","4857000","4899000","4941000","4985000","5030000","5075000","5121000","5166000","5212000","5257000","5303000","5348000","5394000","5446000","5504000","5563000","5622000","5680000","5739000","5798000","5856000","5915000","5973000","6035000","6099000","6164000","6228000","6292000","6357000","6421000","6485000","6550000","6614000","6669000","6724000","6767000","6806000","6843000","6825000","6785000","6727000","6420000","6455000","6504000","6528000","6543000","6562000","6582000","6603000","6623000","6643000","6664000","6684000","6705000","6725000","6746000","6760000","6761000","6758000","6755000","6753000","6653000","6705000","6745000","6783000","6808000","6834000","6799000","7000000","6971000","6956000","6943000","6935100","6935451","6927772","6932483","6940209","6946885","6952359","6965860","6987358","7014331","7047437","7086299","7129864","7175811","7223801","7270889","7322066","7376998","7415403","7441055","7467086","7500482","7544201","7586115","7599038","7578903","7565525","7568430","7562305","7549425","7549433","7564629","7574613","7552896","7554132","7559776","7568242","7578903","7599791","7627861","7722953","7818423","7914969","7988599","8027540","8047433","8060852","8069876","8078622","8094156","8113413","8131690","8148312","8162656","8174762","8184691","8192880","8199783","8205533","-"
"Austria","Europe & Central Asia","income","1434.51","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1550.01","1574.98","1600.35","1626.12","1652.32","1678.93","1705.97","1733.45","1761.37","1789.74","1818.56","1837.1","1855.82","1874.73","1893.83","1913.13","1932.63","1952.33","1972.22","1992.32","2012.62","2034.4","2056.41","2078.65","2101.14","2123.87","2146.85","2170.08","2193.56","2217.29","2241.28","2262.88","2284.7","2306.73","2328.97","2351.42","2374.09","2396.98","2420.09","2443.42","2466.98","2483.91","2500.97","2518.14","2535.43","2552.84","2570.37","2588.02","2605.79","2623.68","2641.7","2813.04","2815.2","2730.96","2834.04","2829.2","2873.94","2952.65","3031.03","2990.81","3013.1","3116","3115.19","3222.36","3287.4","3245.89","3329.95","3538.38","3508.79","3454.42","3619.16","3720.23","3771.43","3764.68","3951.4","4024.65","4053.25","4105.88","4303.41","4359.56","4362.27","4344.52","4477.8","4480.79","4513.37","4728.12","4870.98","5130.41","5113.09","5056.77","5090.03","5205.8","5422.19","5360.93","4448.44","4104.04","4064.74","4000.87","3952.16","3494.55","3731.71","4099.62","4451.32","4396.76","4892.64","5208.47","5279.81","5422.72","5657.6","5721.43","5546.91","5085.87","4547.49","4382.76","4411.25","4496.45","4632.65","4881.74","5506.35","6336.15","6124.69","6524.02","6161.23","6287.8","5888.21","2667.85","3026.57","3351.41","4276.52","5094.41","5733.1","6124.93","6137.08","6399.79","7045.97","7817.25","8348.45","8842.6","9137.3","9360.85","10083.83","10560.97","10750.72","11116.7","11705.63","11964.28","12549.33","12834.6","13335.56","14125.32","15078.77","15779.07","16661.63","17379.33","18033.98","18016.37","18874.3","19749.42","19693.62","20803.4","21284.71","21220.89","21597.08","22266.66","22336.95","22821.2","23329.16","23687.83","24371.18","25307.87","26135","26744.4","27042.02","26882.04","27463.48","27918.82","28602.35","29095.92","30107.98","31039.62","32008.5","32196.42","32417.61","32741.19","33455.69","34108","35161.23","36348.95","37032.76","35636.42"
"France","Europe & Central Asia","lifeExpectancy","32.4","-","-","-","-","-","35","34.2","34.5","35","37.4","36.1","31.7","31.2","30.1","36.5","40.04","39.18","38.53","37.25","39.21","39.83","38.3","39.97","39.14","38.53","37.76","39.35","37.53","39.36","39.56","39.65","35.81","38.83","35.01","39.48","41.95","39.38","39.33","40.91","40.37","40.68","40.01","40.75","42.29","43.58","40.67","40.41","40.29","35.91","43.28","41.77","41.32","42.52","36.13","37.54","40.18","39.59","39.67","35.26","43.33","40.45","42.7","41.73","42.01","40.16","41.83","42.33","40.23","41.14","36.41","29.59","42.64","41.75","44.3","43.17","43.55","44.33","43.36","43.99","42.73","43.55","43.16","43.28","42.52","43.97","43.17","43.75","44.15","45.56","43.36","44.11","43.57","43.6","45.53","45.2","47.56","47.93","45.99","45.23","45.08","47.01","48.01","48.43","48.08","48.36","47.74","48.28","49.3","50.01","51.37","48.17","51.62","51.35","37.85","35.63","39.51","42.6","34.34","47.52","51.6","52.69","54.92","54.65","55.27","54.39","54.03","55.8","55.44","54.27","56.87","56.93","57.26","57.7","58.36","58.32","58.81","59.17","58.97","59.62","49.45","57.67","57.44","53.33","47.19","54.96","62.38","63.98","65.83","64.92","66.39","66.12","67.41","67.34","68.21","68.47","68.5","68.93","70.16","70.19","70.4","70.98","70.51","70.36","71.32","71.15","71.56","71.55","71.54","71.27","72.16","72.13","72.38","72.54","72.89","72.98","73.22","73.83","73.95","74.26","74.35","74.51","74.89","74.87","75.37","75.47","75.75","76.34","76.57","76.69","76.98","77.17","77.46","77.5","77.94","78.06","78.27","78.62","78.79","78.92","79.23","79.41","79.57","79.57","80.5","80.47","80.88","81.14","81.25","81.47"
"France","Europe & Central Asia","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31250000","31460000","31685000","31905000","32127000","32350000","32538000","32727000","32917000","33108000","33300000","33439000","33598000","33718000","33859000","34000000","34178000","34357000","34537000","34718000","34900000","35059000","35218000","35378000","35539000","35700000","35829000","35959000","36089000","36219000","36350000","36479000","36609000","36739000","36869000","37000000","37060000","37120000","37180000","37240000","37300000","37390000","37520000","37710000","37860000","38020000","38080000","38230000","38330000","38890000","38440000","37731000","37679000","37887000","38044000","38221000","38398000","38576000","38763000","38909000","39045000","39191000","39337000","39472000","39629000","39733000","39858000","39889000","39920000","40004000","40014000","39983000","39993000","40014000","40056000","40098000","40192000","40348000","40473000","40546000","40598000","40640000","40713000","40786000","40859000","40890000","40942000","40942000","41046000","41109000","41224000","41307000","41359000","41463000","41476000","40481000","39884000","39288000","38542000","38700000","39000000","39240000","39420000","39880000","40310000","40610000","40870000","40940000","41050000","41230000","41610000","41860000","41860000","41890000","41950000","41940000","41910000","41930000","41960000","41900000","41000000","39600000","39400000","39000000","38900000","39700000","40290000","40680000","41110000","41480000","41828673","42155534","42459667","42751746","43056505","43427669","43843075","44310863","44788852","45239729","45670000","46189000","47124000","47808000","48340000","48763000","49194000","49569000","49934000","50353000","50787000","51285000","51732000","52157000","52503000","52758427","52953613","53165019","53380649","53605523","53869743","54147284","54433565","54649810","54946500","55171224","55387361","55630100","55873463","56416625","56735161","57055448","57374179","57658289","57906847","58149727","58388408","58623428","58866290","59116128","59381628","59658144","59925035","60180529","60424213","60656178","60876136","61083916","61279972","-"
"France","Europe & Central Asia","income","1388.32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1508.17","1605.15","1488.9","1484.46","1450.73","1461.26","1507.24","1517.77","1424.55","1505.31","1478.21","1468.18","1575.78","1575.21","1556.85","1638.99","1670.87","1691.88","1728.95","1702.64","1833.29","1782.25","1748.42","1814.96","1869.79","1937.81","2061.01","2247.78","1754.96","1751.73","1840.71","1810.27","2049.4","2279.88","2558.73","2699.62","2804.19","2709.43","2530.47","2537.44","2704.03","2763.29","2864.8","2947.49","3001.41","2952.32","3078.84","3035.75","3248.75","3053.02","2952.12","3094.7","3265.24","3226.92","3368.09","3305.81","3271.13","3263.78","3086.79","3061.22","3251.85","3467.16","3592.01","3442.58","3268.75","3178.76","3144.18","3176.37","3256.96","3273.56","3400.86","3444.97","3524.93","3398.78","3737.15","3668.19","3791.6","3688.84","3914.43","4060.44","4120.2","3923.77","3882.54","4018.39","4104.52","4215.5","4163.4","4506.35","4497.65","4648.43","4431.67","4874.61","5269.95","5216.06","4366.68","3838.35","4391.91","4343.65","3715.96","4091.01","4363.66","4138.93","4952.53","5174.88","5731.07","5758.31","5943.23","5809.19","6139.65","6647.68","6404.85","6109.1","5562.21","5715.58","5506.14","5360.76","5427.12","5543.16","5395.35","5609.14","4419.43","4268.29","4290.23","4272.41","3266.23","4011.65","5348.07","5625.06","6298.46","6625.98","7104.01","7436.28","7550.91","7692.44","8019.09","8399.74","8786.31","9242.42","9434.98","9619.51","10244.42","10686.66","11191.29","11579.29","12197.97","12650.59","13187.05","13683.81","14146.15","15000.57","15703.71","16284.72","16840.55","17597.08","18004.5","17848.25","18509.58","18996.91","19524.41","20102.02","20334.47","20488.68","20933.53","21265.16","21488.65","21805.96","22218.56","22608.9","23523.51","24186.1","24676.73","24847.93","25140.92","24731.22","25117.85","25556.85","25717.2","26170.75","26957.92","27689.46","28636.15","28983.72","29043.35","29048.88","29505.88","29644","30161.01","30666.76","30598.37","29774.85"
"Germany","Europe & Central Asia","lifeExpectancy","38.37","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","38.37","-","-","-","-","-","-","-","-","-","39.44","-","-","-","-","-","-","-","-","-","42.38","-","-","-","-","-","-","-","-","-","45.45","-","-","-","-","-","49","-","-","-","40.52","-","-","-","-","-","-","-","-","-","57.42","-","-","-","-","-","-","-","-","-","61.5","-","-","-","62.6","62.26","62.19","59.64","57.76","52.66","46.13","60.51","-","-","-","66.78","66.96","67.33","67.69","68.03","68.36","68.68","68.98","69.27","69.54","69.79","70.01","70.21","70.38","70.52","70.62","70.7","70.74","70.77","70.79","70.83","70.9","71.01","71.18","71.4","71.67","71.97","72.29","72.6","72.9","73.18","73.43","73.67","73.9","74.11","74.32","74.54","74.77","75","75.25","75.39","75.61","76.07","76.15","76.47","76.66","76.9","77.35","77.7","77.94","78.21","78.58","78.67","78.75","79.34","79.48","79.81","79.98","80.06","80.08"
"Germany","Europe & Central Asia","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","24905000","25260000","25620000","25969000","26307000","26650000","26964000","27249000","27540000","27807000","28045000","28283000","28535000","28801000","29071000","29390000","29702000","30013000","30365000","30746000","31126000","31475000","31787000","32086000","32394000","32743000","33059000","33231000","33289000","33452000","33746000","34055000","34290000","34422000","34531000","34586000","34715000","34979000","35278000","35633000","36049000","36435000","36788000","37184000","37602000","37955000","38193000","38440000","38637000","38914000","39231000","39456000","39691000","40017000","40450000","40897000","41491000","42034000","42546000","43052000","43500000","43827000","44112000","44404000","44777000","45084000","45505000","46001000","46538000","47083000","47607000","48129000","48633000","49123000","49703000","50363000","51111000","51921000","52753000","53592000","54388000","55214000","56104000","56963000","57806000","58644000","59481000","60341000","61187000","62038000","62884000","63852000","64457000","65058000","66096000","66230000","66076000","65763000","65237000","60547000","60894000","61573000","61900000","62307000","62697000","63166000","63630000","64023000","64393000","64739000","65084000","65423000","65716000","66027000","66409000","66871000","67349000","67831000","68558000","69286000","69835000","70244000","70834000","70411000","69865000","67000000","64678000","66094000","67295000","67991000","68374572","68875884","69145952","69550236","69868115","70195612","70602518","71019069","71488167","72013853","72480869","73123148","73739117","74340260","74954262","75638851","76206173","76368453","76584401","77143888","77783164","78354709","78717088","78950220","78966137","78682325","78298957","78160773","78066074","78081292","78297904","78401830","78335266","78121655","77855422","77684907","77713485","77718298","78030572","78644914","79380394","79984244","80597764","81132272","81414164","81653702","81890667","82011073","82023672","82074778","82187909","82280551","82350671","82398326","82424609","82431390","82422299","82400996","82369548","-"
"Germany","Europe & Central Asia","income","1695.68","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1945.75","1959.18","1972.7","1986.32","2000.03","2013.83","2027.73","2041.73","2055.82","2070.01","2084.3","2091.83","2099.4","2106.99","2114.61","2122.26","2129.93","2137.64","2145.37","2153.13","2160.91","2168.73","2176.57","2184.44","2192.34","2200.27","2208.23","2216.21","2224.23","2232.27","2240.35","2209.1","2237.39","2218","2264.94","2229.04","2403.11","2502.1","2470.35","2456.18","2572.49","2483.9","2581.56","2744.35","2793.09","2776.92","2779.13","2770.95","2920.7","2919.02","2885.95","2850.62","3030.79","3136.39","3333","3314.78","3249.37","3189.68","3300.1","3183.46","3124.99","3178.15","3208.28","3363.31","3418.47","3477.8","3470.18","3570.4","3673.25","3733.56","3809.81","3760.75","3874.94","4025.82","4076.25","4215.1","4299.15","4354.02","4468.91","4558.78","4683.8","4505.8","4540.54","4720.51","4838.51","4870.98","4946.45","5091.98","5106.79","5138.79","5253.25","5348.6","5529.51","5724.59","4800.75","4549.24","4604.93","4632.51","4681.28","4058.48","4386.95","4829.84","5227.11","4314.74","5019.72","5542.04","5656.53","6184.52","6418.17","6357.62","6235.14","5730.09","5275.27","5579.88","6054.45","6464.97","6984.27","7351.76","7836.14","8483.68","8477.82","8962.15","9007.31","9242.26","9546.85","7083.98","3478.75","3822.81","4446.78","5150.97","6090.03","6599.92","7144.11","7697.25","8233.48","9096.83","9692.61","10187.83","10571.59","11261.93","12091.34","12478.83","12902.46","13158.88","13844.37","14414.59","14731.37","14745.63","15479.67","16383.41","17009.19","17382.08","18016.18","18778.23","18929.76","18894.57","19903.97","20512.92","21114.59","21958.81","22148.27","22202.51","22031.53","22485.38","23198.33","23757.88","24274.56","24639.19","25359.06","25983.63","24996.14","26127.06","26505.3","26119.46","26720.64","27145.96","27336.47","27788.88","28291.6","28842.66","29726.88","30061.4","30035.8","29952.94","30260.66","30496","31511.65","32342.82","32785.53","31191.15"
