"name","region","type","1800","1801","1802","1803","1804","1805","1806","1807","1808","1809","1810","1811","1812","1813","1814","1815","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"Algeria","Middle East & North Africa","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2689000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3776000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5497000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8892718","9073304","9279525","9531710","9611093","9841851","10057133","10270856","10484925","10696396","10909294","11121645","11000948","11272878","11612858","11963091","12339140","12760499","13146267","13528304","13931846","14335388","14760787","15197724","15653200","16140252","16634618","17152804","17685768","18229932","18806061","19407036","20033753","20680982","21340546","22008450","22642538","23254956","23883858","24500650","25093154","25689444","26298373","26914091","27517041","28082573","28595073","29072015","29521270","29962690","30409300","30851518","31287142","31713719","32129324","32531853","32930091","33333216","33739635","-"
"Algeria","Middle East & North Africa","income","766.25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","765.88","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1272.76","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2070.76","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2429.21","2397.53","2449.01","2436.34","2557.82","2572.47","2764.42","3013.98","3059.58","3548.42","3716.79","3202.96","2550.82","3146.58","3214.44","3327.99","3070.75","3246.99","3519.79","3747.74","4003.57","3559.35","4182.66","4194.6","4320.96","4489.03","4642.62","4910.42","5373.17","5682.03","5610.2","5573.38","5745.16","5853.66","5986.54","6107.18","5876.05","5681.36","5415.99","5457.75","5244.51","5061.3","5023.22","4800.32","4652.84","4732.43","4824.21","4797.3","4965.23","5048.62","5098.85","5156.45","5288.04","5576.85","5790.97","6011","5969.05","6040.89","6175.1","6207.17"
"Saudi Arabia","Middle East & North Africa","lifeExpectancy","32.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","32.1","-","-","-","-","38.66","38.97","39.58","40.18","40.78","41.37","41.96","42.54","43.12","43.71","44.31","44.95","45.61","46.32","47.06","47.83","48.63","49.43","50.23","51.02","51.83","52.65","53.5","54.39","55.31","56.26","57.23","58.2","59.17","60.11","61.02","61.89","62.72","63.5","64.24","64.92","65.57","66.17","66.74","67.29","67.8","68.27","68.71","69.12","69.49","69.83","70.14","70.41","70.66","70.9","71.12","71.33","71.55","71.77","71.99","72.21","72.44","72.66","72.88","73.1"
"Saudi Arabia","Middle East & North Africa","population","2091000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2091000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2338000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2676000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3859801","3931753","4005677","4081572","4160424","4243218","4328970","4419650","4514271","4613822","4718301","4827708","4943029","5065249","5192398","5327432","5469365","5618198","5774916","5938534","6109051","6287454","6472756","6666928","6868001","7204820","7620435","8128505","8708801","9346019","9999161","10627409","11254672","11912032","12606940","13330067","13998295","14619745","15233131","15829361","16060761","16305774","16945857","18056656","19108307","19966998","20625641","21229759","21842982","22483640","23153090","23832849","24501530","25156630","25795938","26417599","27019731","27601038","28161417","-"
"Saudi Arabia","Middle East & North Africa","income","441.27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","443.36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","760.72","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5834.36","6208.71","6459.55","6968.42","7615.79","7642.33","8042.36","8157.59","8380.7","9044.26","9726.96","10635.36","11626.42","12332.87","13089.1","14304.44","15958.99","16903.05","17910.56","18751.91","19938.92","22166.86","24837.43","28873.35","32254.54","30827.93","31661.42","34167.76","33789.05","33588.81","34568.06","35101.25","33693.18","28412.06","26815.59","23663.08","21161.24","21198.26","20995.14","20934.15","23520.95","25113.59","24841.62","23173.54","22010.66","21162.71","20772.36","20586.69","20353.7","19635.3","20001.87","19528.5","19014.54","19945.47","20481.98","21220","21356.15","21255.6","21635.15","21138.18"
"Brazil","America","lifeExpectancy","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.98","-","-","-","-","-","-","-","-","-","32","-","-","-","-","-","-","-","-","-","36.64","-","-","-","-","42.3","-","-","-","-","49.97","50.2","50.67","51.14","51.61","52.09","52.58","53.06","53.55","54.03","54.51","54.97","55.43","55.86","56.28","56.69","57.08","57.45","57.83","58.2","58.57","58.94","59.32","59.71","60.1","60.49","60.89","61.29","61.68","62.07","62.46","62.84","63.22","63.6","63.98","64.36","64.74","65.12","65.5","65.88","66.26","66.65","67.06","67.47","67.88","68.3","68.7","69.1","69.48","69.85","70.19","70.51","70.82","71.11","71.4","71.67","71.93","72.19","72.44","72.68"
"Brazil","America","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4507000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7234000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9797000","9980000","10167000","10358000","10552000","10749000","10951000","11156000","11365000","11578000","11794000","12015000","12240000","12470000","12703000","12941000","13183000","13430000","13682000","13938000","14199000","14539000","14886000","15242000","15607000","15980000","16362000","16753000","17154000","17564000","17984000","18392000","18782000","19180000","19587000","20003000","20427000","20860000","21303000","21754000","22216000","22687000","23168000","23660000","24161000","24674000","25197000","25732000","26277000","26835000","27404000","27969000","28542000","29126000","29723000","30332000","30953000","31587000","32234000","32894000","33568000","34256000","34957000","35673000","36404000","37150000","37911000","38687000","39480000","40289000","41114000","42069000","43069000","44093000","45141000","46215000","47313000","48438000","49590000","50769000","53443075","54995532","56602560","58266357","59989219","61773546","63631992","65551171","67533213","69580328","71694810","73832902","76039390","78316598","80666939","83092908","85557441","88049823","90569084","93114241","95684297","98245467","100840058","103469438","106131448","108823732","111545124","114313951","117146603","120040282","122958132","125929730","128962939","131891729","134626216","137302933","140111725","142938076","145782100","148567499","151083809","153511587","155975974","158471338","160994257","163542501","166073876","168546719","170956177","173293681","175552771","177752913","179914212","182032604","184101109","186112794","188078227","190010647","191908598","-"
"Brazil","America","income","509.2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","539.02","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","571.9","611.36","594.85","558.23","539.18","544.31","564.09","603.65","642.47","637.34","654.19","648.33","617.56","631.48","640.27","687.89","712.8","772.14","772.14","772.14","715.73","715.73","740.64","718.66","729.65","740.64","712.8","693.02","726.72","732.58","698.88","704.74","721.59","701.81","749.43","695.95","718.66","671.04","645.4","654.19","715.73","760.42","659.32","561.16","561.16","665.18","603.65","594.85","608.77","597.78","575.07","648.48","629.74","630.97","622.59","632.64","696.97","691.3","654.7","705.48","711.35","737.66","770.7","778.23","750.11","738.09","729.69","783.66","749.02","792.56","875.52","874.14","925.6","984.14","980.08","959.96","989.1","1076.22","1177.58","1164.62","1118.34","1056.7","1081.05","1157.13","1237.46","1250.24","1374.69","1410.23","1444.01","1449.77","1406.39","1443.76","1369.92","1457.02","1538.99","1553.89","1695.26","1694.1","1813.51","1903.64","1979.81","2020.23","2108.94","2145.84","2249.2","2379.48","2376.5","2487.37","2680.43","2861.75","3044.13","3214.19","3336.59","3260.25","3277.01","3261.05","3385.4","3429.86","3666.98","3909.48","4184.07","4554.85","4985.71","5558.5","5873.83","6031.57","6500.65","6660.12","6825.89","7117.96","7623.18","7128.81","7030.84","6672.28","6890.25","7286.96","7685.06","7807.1","7657.32","7763.04","7136.93","7097.83","6950.28","7188.19","7503.67","7713.35","7810.2","7957.98","7860.55","7818.96","8056.06","8022.52","8131.21","8110.41","8461.5","8596","8869.55","9305.66","9682","9569.78"
"Canada","America","lifeExpectancy","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","39.05","-","-","-","-","-","-","-","-","-","40.32","-","-","-","-","-","-","-","-","-","41.06","-","-","-","-","-","-","-","-","-","41.6","-","-","-","-","-","-","-","-","-","42.56","-","-","-","-","-","-","-","-","-","44.73","-","-","-","-","-","-","-","-","-","45.17","-","-","-","-","-","-","-","-","-","48.63","-","-","-","-","-","-","-","-","-","52.51","-","-","-","-","-","-","-","-","-","57.02","57.02","57.02","58.83","59.31","57.99","58.68","58.57","57.97","58.95","60.36","61.43","62.36","62.77","62.49","62.72","61.35","63.31","63.74","64.01","63.76","64.7","64.61","65.35","66.33","66.53","66.78","67.33","67.65","68.28","68.55","68.75","69.13","69.99","70.05","70.04","69.96","70.62","70.66","71.04","71.27","71.3","71.31","71.69","71.79","71.92","72.13","72.29","72.45","72.65","72.98","72.88","73.11","73.19","73.49","73.92","74.21","74.54","74.9","75.14","75.55","75.76","76.13","76.43","76.41","76.56","76.86","76.93","77.2","77.51","77.69","77.95","77.83","78.01","78.13","78.4","78.61","78.83","79.05","79.41","79.65","79.77","79.95","80.25","80.36","80.78","80.59","80.74","80.89"
"Canada","America","population","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","816000","-","-","-","-","-","-","-","-","-","1169000","-","-","-","-","-","-","-","-","-","1697000","-","-","-","-","-","-","-","-","-","2485000","-","-","-","-","-","-","-","-","-","3369000","-","-","-","-","-","-","-","-","-","3781000","3801000","3870000","3943000","4012000","4071000","4128000","4184000","4244000","4312000","4384000","4451000","4503000","4560000","4617000","4666000","4711000","4760000","4813000","4865000","4918000","4972000","5022000","5072000","5121000","5169000","5218000","5269000","5325000","5383000","5457000","5536000","5650000","5813000","5994000","6166000","6282000","6596000","6813000","6993000","7188000","7410000","7602000","7852000","8093000","8191000","8214000","8277000","8374000","8548000","8798000","9028000","9159000","9256000","9394000","9549000","9713000","9905000","10107000","10305000","10488000","10657000","10794000","10919000","11030000","11136000","11243000","11341000","11452000","11570000","11688000","11818000","11969000","12115000","12268000","12404000","12634000","12901000","13180000","13469000","14011422","14330675","14785584","15183375","15636245","16050356","16445087","17010154","17462004","17872034","18266765","18634977","18985849","19342841","19711053","20071104","20448496","20819767","21143100","21448073","21749986","22026400","22284500","22559500","22874700","23209200","23517500","23796400","24036300","24276900","24593300","24900000","25201900","25456300","25701800","25941600","26203800","26549700","26894800","27379300","27790600","28117600","28523502","28920644","29262472","29619002","29983162","30305843","30628924","30957019","31278097","31592805","31902268","32207113","32507874","32805041","33098932","33390141","33679263","-"
