time,latitude,longitude,gids
2016-6-8T10:40:59,"35.47218656","139.58670365","182"
2016-6-8T10:41:2,"35.47218654","139.58670369","182"
2016-6-8T10:41:3,"35.47218652","139.58670371","182"
2016-6-8T10:41:4,"35.47218652","139.58670375","182"
2016-6-8T10:41:5,"35.47218652","139.58670375","182"
2016-6-8T10:41:6,"35.47218654","139.58670378","182"
2016-6-8T10:41:9,"35.47218663","139.58670374","182"
2016-6-8T10:41:10,"35.47218671","139.5867037","182"
2016-6-8T10:41:11,"35.47218673","139.58670373","182"
2016-6-8T10:41:14,"35.472187","139.58670369","182"
2016-6-8T10:41:15,"35.47218715","139.58670368","182"
2016-6-8T10:41:16,"35.47218726","139.58670369","182"
2016-6-8T10:41:17,"35.47218733","139.58670369","182"
2016-6-8T10:41:20,"35.47218763","139.58670367","182"
2016-6-8T10:41:21,"35.47218768","139.58670361","182"
2016-6-8T10:41:22,"35.47218772","139.58670359","182"
2016-6-8T10:41:23,"35.47218773","139.5867036","182"
2016-6-8T10:41:26,"35.47218797","139.58670361","182"
2016-6-8T10:41:27,"35.47218807","139.58670356","182"
2016-6-8T10:41:28,"35.47218822","139.58670351","182"
2016-6-8T10:41:29,"35.4721883","139.58670356","182"
2016-6-8T10:41:32,"35.47218898","139.5867036","182"
2016-6-8T10:41:33,"35.47218909","139.58670358","182"
2016-6-8T10:41:34,"35.47218916","139.58670357","182"
2016-6-8T10:41:37,"35.47218944","139.58670351","182"
2016-6-8T10:41:38,"35.47218951","139.58670349","182"
2016-6-8T10:41:39,"35.47218956","139.58670351","182"
2016-6-8T10:41:40,"35.47218957","139.5867035","182"
2016-6-8T10:41:43,"35.47218954","139.58670363","182"
2016-6-8T10:41:44,"35.47218954","139.58670366","182"
2016-6-8T10:41:45,"35.47218955","139.58670366","182"
2016-6-8T10:41:46,"35.47218954","139.58670366","182"
2016-6-8T10:41:49,"35.47218959","139.58670356","182"
2016-6-8T10:41:50,"35.4721896","139.58670353","182"
2016-6-8T10:41:51,"35.47218961","139.58670352","182"
2016-6-8T10:41:52,"35.47218961","139.58670351","182"
2016-6-8T10:41:55,"35.47218963","139.58670348","182"
2016-6-8T10:41:56,"35.47218963","139.58670346","182"
2016-6-8T10:41:57,"35.47218962","139.58670344","182"
2016-6-8T10:42:0,"35.47218964","139.58670338","182"
2016-6-8T10:42:1,"35.47218965","139.5867033","182"
2016-6-8T10:42:2,"35.47218964","139.58670327","182"
2016-6-8T10:42:3,"35.47218965","139.58670322","182"
2016-6-8T10:42:6,"35.47218963","139.58670308","182"
2016-6-8T10:42:7,"35.47218961","139.58670306","182"
2016-6-8T10:42:8,"35.47218961","139.58670303","182"
2016-6-8T10:42:9,"35.4721896","139.586703","182"
2016-6-8T10:42:12,"35.47218962","139.5867029","182"
2016-6-8T10:42:13,"35.47218963","139.58670287","182"
2016-6-8T10:42:14,"35.47218965","139.58670283","182"
2016-6-8T10:42:15,"35.47218968","139.5867028","182"
2016-6-8T10:42:18,"35.47218974","139.58670274","182"
2016-6-8T10:42:19,"35.47218973","139.58670272","182"
2016-6-8T10:42:20,"35.47218975","139.58670268","182"
2016-6-8T10:42:23,"35.47218982","139.58670258","182"
2016-6-8T10:42:24,"35.47218982","139.58670256","182"
2016-6-8T10:42:25,"35.47218983","139.58670253","182"
2016-6-8T10:42:26,"35.47218984","139.58670248","182"
2016-6-8T10:42:29,"35.47218988","139.58670239","183"
2016-6-8T10:42:30,"35.47218991","139.58670237","183"
2016-6-8T10:42:31,"35.47218991","139.58670237","183"
2016-6-8T10:42:32,"35.4721899","139.58670238","183"
2016-6-8T10:42:35,"35.47218988","139.58670238","183"
2016-6-8T10:42:36,"35.47218988","139.58670234","183"
2016-6-8T10:42:37,"35.47218988","139.58670235","183"
2016-6-8T10:42:38,"35.47218989","139.58670233","183"
2016-6-8T10:42:41,"35.47218995","139.58670231","183"
2016-6-8T10:42:42,"35.47218998","139.5867023","183"
2016-6-8T10:42:43,"35.47218999","139.5867023","183"
2016-6-8T10:42:44,"35.47219005","139.58670229","183"
2016-6-8T10:42:47,"35.47219026","139.58670228","183"
2016-6-8T10:42:48,"35.47219034","139.58670228","183"
2016-6-8T10:42:49,"35.47219041","139.58670228","183"
2016-6-8T10:42:52,"35.47219056","139.58670226","183"
2016-6-8T10:42:53,"35.47219063","139.58670226","183"
2016-6-8T10:42:54,"35.47219069","139.58670229","183"
2016-6-8T10:42:55,"35.47219076","139.58670228","183"
2016-6-8T10:42:58,"35.47219095","139.58670229","183"
2016-6-8T10:42:59,"35.47219099","139.58670231","183"
2016-6-8T10:43:0,"35.47219105","139.58670232","183"
