"倉敷市の月別観光施設入場者数","　","　"
"鷲羽山ビジターセンター","2014_05","2548"
"鷲羽山ビジターセンター","2014_06","1428"
"鷲羽山ビジターセンター","2014_07","1114"
"鷲羽山ビジターセンター","2014_08","1646"
"鷲羽山ビジターセンター","2014_09","2322"
"鷲羽山ビジターセンター","2014_10","1935"
"鷲羽山ビジターセンター","2014_11","1926"
"鷲羽山ビジターセンター","2014_12","1160"
"むかし下津井回船問屋","2014_01","1172"
"むかし下津井回船問屋","2014_02","1816"
"むかし下津井回船問屋","2014_03","1906"
"むかし下津井回船問屋","2014_04","1295"
"むかし下津井回船問屋","2014_05","2178"
"むかし下津井回船問屋","2014_06","1974"
"むかし下津井回船問屋","2014_07","1620"
"むかし下津井回船問屋","2014_08","2201"
"むかし下津井回船問屋","2014_09","2974"
"むかし下津井回船問屋","2014_10","2419"
"むかし下津井回船問屋","2014_11","3176"
"むかし下津井回船問屋","2014_12","1703"
"ベティスミスジーンズミュージアム","2014_01","816"
"ベティスミスジーンズミュージアム","2014_02","1044"
"ベティスミスジーンズミュージアム","2014_03","1661"
"ベティスミスジーンズミュージアム","2014_04","1178"
"ベティスミスジーンズミュージアム","2014_05","2417"
"ベティスミスジーンズミュージアム","2014_06","1208"
"ベティスミスジーンズミュージアム","2014_07","1569"
"ベティスミスジーンズミュージアム","2014_08","2847"
"ベティスミスジーンズミュージアム","2014_09","1384"
"ベティスミスジーンズミュージアム","2014_10","1384"
"ベティスミスジーンズミュージアム","2014_11","1988"
"ベティスミスジーンズミュージアム","2014_12","1163"
"玉島歴史民俗海洋資料館","2014_01","1259"
"玉島歴史民俗海洋資料館","2014_02","1373"
"玉島歴史民俗海洋資料館","2014_03","1819"
"玉島歴史民俗海洋資料館","2014_04","1371"
"玉島歴史民俗海洋資料館","2014_05","1510"
"玉島歴史民俗海洋資料館","2014_06","1234"
"玉島歴史民俗海洋資料館","2014_07","1798"
"玉島歴史民俗海洋資料館","2014_08","1430"
"玉島歴史民俗海洋資料館","2014_09","1213"
"玉島歴史民俗海洋資料館","2014_10","996"
"玉島歴史民俗海洋資料館","2014_11","1290"
"玉島歴史民俗海洋資料館","2014_12","1250"
"旧柚木家住宅","2014_01","302"
"旧柚木家住宅","2014_02","567"
"旧柚木家住宅","2014_03","1161"
"旧柚木家住宅","2014_04","383"
"旧柚木家住宅","2014_05","617"
"旧柚木家住宅","2014_06","597"
"旧柚木家住宅","2014_07","376"
"旧柚木家住宅","2014_08","296"
"旧柚木家住宅","2014_09","255"
"旧柚木家住宅","2014_10","374"
"旧柚木家住宅","2014_11","510"
"旧柚木家住宅","2014_12","203"
"倉敷科学センター宇宙劇場","2014_01","2009"
"倉敷科学センター宇宙劇場","2014_02","2827"
"倉敷科学センター宇宙劇場","2014_03","3627"
"倉敷科学センター宇宙劇場","2014_04","2662"
"倉敷科学センター宇宙劇場","2014_05","4481"
"倉敷科学センター宇宙劇場","2014_06","2943"
"倉敷科学センター宇宙劇場","2014_07","6874"
"倉敷科学センター宇宙劇場","2014_08","16412"
"倉敷科学センター宇宙劇場","2014_09","4202"
"倉敷科学センター宇宙劇場","2014_10","6820"
"倉敷科学センター宇宙劇場","2014_11","3542"
"倉敷科学センター宇宙劇場","2014_12","1597"
"倉敷科学センター展示室","2014_01","2777"
"倉敷科学センター展示室","2014_02","3510"
"倉敷科学センター展示室","2014_03","5989"
"倉敷科学センター展示室","2014_04","4556"
"倉敷科学センター展示室","2014_05","6725"
"倉敷科学センター展示室","2014_06","4279"
"倉敷科学センター展示室","2014_07","11540"
